,model_name,os,api,latency
1000,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0573247449999598
1001,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0439328619999059
1002,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043869715000028
1003,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043796919999977
1004,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0439903430000185
1005,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0439622499999359
1006,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435106099999984
1007,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438157529999898
1008,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438147340000796
1009,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0436082749999968
1010,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434607590000268
1011,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043275059999928
1012,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434776680000368
1013,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433585959999618
1014,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431566549999615
1015,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433808000000226
1016,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432540790000075
1017,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434556129999919
1018,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0436080179999862
1019,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043752607999977
1020,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043564536999952
1021,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043494389999978
1022,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043286801000022
1023,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435093160000406
1024,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435778140000593
1025,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433917630000451
1026,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043447856000057
1027,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0565814489999638
1028,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438405159999319
1029,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043524576999971
1030,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0441181589999359
1031,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431623050000098
1032,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438209790000883
1033,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434703189999936
1034,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438107390000368
1035,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0440858819999903
1036,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433716720000347
1037,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435285949999979
1038,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434707819999857
1039,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435413910000761
1040,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435589669999672
1041,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433385820000467
1042,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438254630000756
1043,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043733057000054
1044,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433540630000379
1045,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0439002389999814
1046,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0437667039999496
1047,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434694140000146
1048,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0436084850000497
1049,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433481190000293
1050,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435277640000322
1051,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433149340000227
1052,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435859299999492
1053,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438099080000711
1054,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433693229999789
1055,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0437187259999518
1056,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435281920000534
1057,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043579765000004
1058,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432631040000615
1059,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431511980000323
1060,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432783810000501
1061,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435133590000305
1062,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438176870000006
1063,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430936440000095
1064,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433669729999337
1065,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435885429999416
1066,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434796000000687
1067,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433059179999872
1068,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0449019650000082
1069,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431761820000247
1070,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429587780000702
1071,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432428280000749
1072,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438877799999772
1073,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431996439999693
1074,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432194029999664
1075,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428106879999177
1076,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429646850000153
1077,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432395509999423
1078,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435120270000197
1079,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0437477829999579
1080,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428106690000049
1081,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435630830000945
1082,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428007430000434
1083,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043297104999965
1084,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0436810090000108
1085,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428530409999439
1086,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428675409999641
1087,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428331709999838
1088,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431733130000111
1089,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431120370000144
1090,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0424253449999696
1091,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432722929999727
1092,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432409409999081
1093,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0427508580000903
