;;;;;;
models;tflite;onnx;openvino;pytorch;;
yolov3;converted;converted;yes;converted;;
yolov3-tiny;converted;converted;yes;converted;;
yolov5l;converted;converted;yes;converted;;
yolov5m;converted;converted;yes;converted;;
yolov5s;converted;converted;yes;converted;;
yolov5n;converted;converted;yes;converted;;
yolov7;converted;converted;yes;converted;;
yolov7-tiny;converted;converted;yes;converted;;
yolov8l;converted;converted;yes;converted;;
yolov8m;converted;converted;yes;converted;;
yolov8s;converted;converted;yes;converted;;
yolov8n;converted;converted;yes;converted;;
