,image,inference time,label1,index1,value1,label2,index2,value2,label3,index3,value3,label4,index4,value4,label5,index5,value5
0,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003042.JPEG,0.11070687699975679,snow leopard,290,0.00392156862745098,Egyptian cat,286,0.027450980392156862,lynx,288,0.027450980392156862,tiger cat,283,0.09803921568627451,tabby,282,0.7607843137254902
1,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003151.JPEG,0.030709980997926323,croquet ball,523,0.00784313725490196,soccer ball,806,0.011764705882352941,yurt,916,0.03137254901960784,dome,539,0.7333333333333333,vault,885,0.0392156862745098
2,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007130.JPEG,0.028709726000670344,hamster,334,0.0,sorrel,340,0.0,harvestman,71,0.00392156862745098,mantis,316,0.8862745098039215,walking stick,314,0.023529411764705882
3,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007498.JPEG,0.02464827299991157,bannister,422,0.00784313725490196,car wheel,480,0.00784313725490196,racer,752,0.7843137254901961,snowmobile,803,0.00784313725490196,sports car,818,0.10196078431372549
4,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003288.JPEG,0.02459247699880507,hip,990,0.00392156862745098,cauliflower,939,0.00392156862745098,pomegranate,958,0.00784313725490196,grocery store,583,0.0196078431372549,buckeye,991,0.8588235294117647
5,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002097.JPEG,0.025466465998761123,Tibetan mastiff,245,0.047058823529411764,bloodhound,164,0.11372549019607843,Sussex spaniel,221,0.058823529411764705,Irish setter,214,0.06666666666666667,cocker spaniel,220,0.2235294117647059
6,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009420.JPEG,0.02438872000129777,sea cucumber,330,0.00392156862745098,shovel,793,0.00392156862745098,stingray,7,0.03529411764705882,electric ray,6,0.807843137254902,conch,113,0.011764705882352941
7,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006495.JPEG,0.02484293700035778,kuvasz,223,0.00392156862745098,Saluki,177,0.00392156862745098,Afghan hound,161,0.00784313725490196,collie,232,0.011764705882352941,borzoi,170,0.8823529411764706
8,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006000.JPEG,0.024483422002958832,Band Aid,420,0.011764705882352941,spindle,817,0.01568627450980392,bonnet,453,0.0196078431372549,diaper,530,0.5568627450980392,plunger,732,0.03137254901960784
9,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003926.JPEG,0.025023972000781214,shopping cart,792,0.011764705882352941,photocopier,714,0.10588235294117647,ashcan,413,0.2549019607843137,carton,479,0.2549019607843137,crate,520,0.2549019607843137
