,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/cocoval2017/000000571718.jpg,1.021952423005132,"['0: person', '46: banana', '0: person', '46: banana']","[0, 46, 0, 46]","[0.42541283, 0.4224228, 0.3472436, 0.28866652]","[[218.8, 9.44, 87.29, 85.3], [228.08, 165.07, 71.6, 66.5], [457.2, 9.65, 179.65, 401.19], [207.42, 236.21, 61.76, 61.48]]"
1,/home/pi/sambashare/BacArbeit/cocoval2017/000000529568.jpg,0.8696876389876707,"['45: bowl', '58: potted plant', '75: vase', '45: bowl', '60: dining table', '41: cup', '69: oven', '0: person', '41: cup']","[45, 58, 75, 45, 60, 41, 69, 0, 41]","[0.68511415, 0.54354525, 0.48804095, 0.3084868, 0.30420327, 0.29554296, 0.28920686, 0.27224398, 0.2596278]","[[67.6, 460.35, 30.02, 23.72], [0.75, 353.57, 64.55, 136.59], [0.75, 425.55, 19.73, 71.78], [459.35, 240.3, 20.65, 50.48], [2.42, 419.08, 219.64, 220.16], [415.54, 243.63, 40.45, 48.56], [131.87, 381.45, 100.81, 212.69], [295.46, 322.74, 64.19, 58.48], [66.04, 223.15, 15.15, 29.66]]"
2,/home/pi/sambashare/BacArbeit/cocoval2017/000000468577.jpg,0.9171051009907387,"['15: cat', '59: bed']","[15, 59]","[0.3306378, 0.26926887]","[[89.97, 297.51, 126.14, 70.61], [22.42, 258.46, 589.58, 293.86]]"
3,/home/pi/sambashare/BacArbeit/cocoval2017/000000151516.jpg,0.9240224450040841,['14: bird'],[14],[0.6605743],"[[200.18, 231.49, 267.02, 80.61]]"
4,/home/pi/sambashare/BacArbeit/cocoval2017/000000350122.jpg,0.84700903200428,"['0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '6: train', '0: person', '24: backpack', '6: train', '0: person', '0: person', '0: person']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 24, 6, 0, 0, 0]","[0.6964333, 0.5239419, 0.49317223, 0.46922705, 0.46400642, 0.42023614, 0.40786004, 0.37160373, 0.36843562, 0.3621797, 0.35265893, 0.31110525, 0.31108284, 0.2950498, 0.28969228, 0.28555298, 0.28245354, 0.2538625]","[[535.52, 248.65, 20.11, 53.24], [204.98, 214.51, 51.16, 145.81], [29.98, 202.48, 71.25, 74.99], [245.35, 214.47, 32.45, 62.71], [369.48, 239.0, 25.39, 38.31], [482.5, 263.46, 17.26, 42.35], [514.93, 252.83, 18.33, 53.44], [204.57, 219.03, 49.11, 58.65], [496.43, 256.79, 21.93, 52.03], [447.86, 256.87, 20.18, 52.65], [472.76, 266.15, 18.81, 38.61], [1.0, 137.97, 187.66, 146.45], [89.07, 198.77, 43.9, 80.09], [308.08, 244.44, 37.77, 35.02], [226.3, 182.82, 135.3, 85.15], [144.92, 236.3, 47.33, 126.54], [394.98, 242.09, 24.16, 33.22], [341.86, 242.6, 26.77, 38.12]]"
5,/home/pi/sambashare/BacArbeit/cocoval2017/000000104803.jpg,0.8619365649938118,"['40: wine glass', '41: cup']","[40, 41]","[0.42282254, 0.28584352]","[[23.04, 32.66, 263.91, 451.15], [306.21, 287.78, 51.04, 104.15]]"
6,/home/pi/sambashare/BacArbeit/cocoval2017/000000288762.jpg,0.8534612829971593,['58: potted plant'],[58],[0.26340973],"[[55.2, 13.27, 570.48, 411.73]]"
7,/home/pi/sambashare/BacArbeit/cocoval2017/000000150638.jpg,0.8803147169965087,"['39: bottle', '41: cup', '41: cup', '39: bottle', '0: person', '0: person', '0: person', '39: bottle', '68: microwave', '45: bowl', '39: bottle', '28: suitcase']","[39, 41, 41, 39, 0, 0, 0, 39, 68, 45, 39, 28]","[0.7773199, 0.70851684, 0.6874058, 0.6764082, 0.50199866, 0.45284116, 0.40563324, 0.37896806, 0.37231767, 0.35898048, 0.30274683, 0.26588023]","[[385.09, 112.13, 53.35, 129.65], [511.61, 175.65, 43.95, 76.58], [358.72, 246.71, 51.78, 73.72], [548.39, 123.31, 48.74, 99.29], [186.79, 0.73, 147.34, 103.67], [494.18, 0.73, 84.63, 71.88], [153.2, 5.82, 32.0, 56.25], [464.18, 99.18, 47.23, 70.51], [553.8, 205.54, 85.89, 219.6], [611.92, 66.44, 28.08, 25.95], [568.59, 100.68, 19.11, 43.43], [1.0, 53.48, 151.73, 350.22]]"
8,/home/pi/sambashare/BacArbeit/cocoval2017/000000496722.jpg,0.8914227429922903,['2: car'],[2],[0.43548077],"[[283.32, 154.45, 17.02, 7.63]]"
9,/home/pi/sambashare/BacArbeit/cocoval2017/000000167898.jpg,0.924888450987055,"['71: sink', '61: toilet', '39: bottle']","[71, 61, 39]","[0.7983058, 0.51206994, 0.4905718]","[[248.81, 179.47, 214.64, 96.25], [343.67, 269.99, 273.99, 210.01], [435.62, 81.08, 23.3, 72.12]]"
