,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/cocoval2017/000000571718.jpg,2.6061587100002725,"['0: person', '0: person', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '56: chair', '46: banana']","[0, 0, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 56, 46]","[0.67178386, 0.67087036, 0.56483555, 0.49148312, 0.48548746, 0.46596098, 0.45459527, 0.44187903, 0.4067443, 0.39262038, 0.36086613, 0.31846544, 0.31773663, 0.31679693]","[[452.15, 9.24, 168.66, 401.8], [219.17, 10.74, 98.78, 85.71], [224.89, 160.6, 77.36, 74.05], [65.69, 253.4, 83.02, 42.79], [108.21, 210.16, 82.75, 73.98], [206.35, 237.93, 57.33, 62.67], [163.04, 201.88, 63.21, 70.23], [3.19, 238.74, 75.71, 48.39], [287.37, 204.12, 73.68, 76.54], [196.66, 178.31, 47.9, 58.38], [248.41, 226.79, 49.49, 60.54], [16.44, 212.29, 87.85, 40.32], [6.97, 50.19, 82.0, 142.28], [262.98, 149.85, 88.42, 38.23]]"
1,/home/pi/sambashare/BacArbeit/cocoval2017/000000529568.jpg,2.230080686999827,"['45: bowl', '62: tv', '75: vase', '60: dining table', '58: potted plant', '45: bowl', '73: book', '56: chair', '73: book', '73: book', '41: cup', '41: cup', '41: cup', '45: bowl', '69: oven', '41: cup', '73: book', '41: cup', '41: cup', '75: vase', '71: sink', '41: cup']","[45, 62, 75, 60, 58, 45, 73, 56, 73, 73, 41, 41, 41, 45, 69, 41, 73, 41, 41, 75, 71, 41]","[0.78136885, 0.7532091, 0.58741844, 0.581611, 0.5758732, 0.47642577, 0.44027779, 0.4401962, 0.4257907, 0.42513624, 0.41175973, 0.3784372, 0.37517953, 0.37217268, 0.36464754, 0.31368497, 0.2839182, 0.27262866, 0.2724677, 0.26549694, 0.2562448, 0.2550707]","[[68.58, 458.9, 27.41, 27.01], [285.8, 315.6, 83.19, 72.44], [0.75, 439.19, 20.81, 60.71], [2.62, 428.67, 219.07, 209.68], [0.75, 355.08, 68.06, 128.52], [42.61, 291.23, 19.48, 14.1], [361.29, 244.28, 12.45, 48.7], [164.2, 578.62, 143.23, 61.08], [395.02, 248.49, 9.59, 43.33], [373.26, 245.36, 14.16, 47.89], [68.25, 285.82, 14.35, 20.06], [80.36, 287.47, 15.72, 20.18], [55.05, 223.25, 11.95, 29.03], [14.1, 272.92, 31.3, 32.78], [133.22, 375.67, 110.07, 155.38], [72.86, 350.61, 15.75, 19.28], [385.11, 247.41, 11.09, 46.57], [65.83, 223.41, 16.59, 29.56], [103.39, 349.2, 13.44, 18.26], [11.44, 418.14, 36.34, 45.98], [292.01, 386.91, 165.83, 37.33], [95.71, 286.75, 19.81, 19.89]]"
2,/home/pi/sambashare/BacArbeit/cocoval2017/000000468577.jpg,2.218233349000002,"['0: person', '59: bed', '59: bed', '75: vase']","[0, 59, 59, 75]","[0.5562423, 0.33000487, 0.3110147, 0.29010484]","[[129.09, 264.07, 334.82, 173.64], [23.25, 260.82, 576.41, 290.65], [2.97, 33.1, 609.03, 423.59], [126.83, 1.26, 299.13, 106.62]]"
3,/home/pi/sambashare/BacArbeit/cocoval2017/000000151516.jpg,2.2166338399993037,['0: person'],[0],[0.8871951],"[[204.78, 230.32, 271.22, 86.9]]"
4,/home/pi/sambashare/BacArbeit/cocoval2017/000000350122.jpg,2.2256305509999947,"['0: person', '0: person', '0: person', '0: person', '6: train', '0: person', '0: person', '24: backpack', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '24: backpack', '0: person', '24: backpack', '0: person', '0: person', '0: person', '0: person', '0: person']","[0, 0, 0, 0, 6, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 24, 0, 0, 0, 0, 0]","[0.71764684, 0.71065336, 0.707968, 0.70513785, 0.59853256, 0.59555924, 0.58379275, 0.57315606, 0.52070415, 0.51892525, 0.5063624, 0.49892324, 0.46174893, 0.45589158, 0.45411742, 0.4145923, 0.41379067, 0.41017544, 0.40548244, 0.37283, 0.3624244, 0.34413487, 0.3231084, 0.3191749, 0.3129586, 0.30003223, 0.29475722, 0.28888354]","[[534.63, 247.7, 21.05, 56.49], [145.43, 237.7, 50.41, 133.9], [203.86, 214.87, 51.28, 151.81], [370.94, 306.6, 75.85, 167.4], [1.61, 140.47, 192.42, 139.04], [497.39, 258.47, 20.56, 50.73], [88.38, 201.18, 57.93, 178.57], [88.68, 231.24, 38.75, 44.5], [446.84, 251.01, 20.09, 59.68], [394.41, 244.23, 19.93, 31.04], [523.49, 271.82, 15.73, 32.78], [368.57, 234.7, 27.53, 41.34], [29.8, 199.54, 74.31, 189.42], [301.96, 233.73, 47.52, 108.83], [241.98, 217.03, 41.28, 136.51], [409.41, 239.78, 18.5, 34.35], [483.88, 263.99, 16.07, 41.4], [610.0, 245.79, 18.37, 29.61], [613.67, 270.05, 24.97, 29.76], [31.37, 202.55, 69.6, 73.82], [315.21, 250.85, 29.4, 29.25], [472.14, 265.74, 17.16, 38.32], [244.38, 233.98, 32.65, 43.16], [93.52, 204.46, 45.3, 77.21], [341.07, 233.93, 30.12, 97.2], [345.03, 236.24, 25.37, 44.12], [521.83, 256.85, 29.51, 47.34], [149.09, 239.41, 41.36, 37.9]]"
5,/home/pi/sambashare/BacArbeit/cocoval2017/000000104803.jpg,2.21970314400005,['61: toilet'],[61],[0.47616822],"[[62.73, 27.26, 200.63, 447.74]]"
6,/home/pi/sambashare/BacArbeit/cocoval2017/000000288762.jpg,2.218005833999996,"['51: carrot', '51: carrot', '51: carrot', '45: bowl', '51: carrot', '44: spoon', '51: carrot', '51: carrot', '51: carrot']","[51, 51, 51, 45, 51, 44, 51, 51, 51]","[0.6291313, 0.5358939, 0.50004816, 0.4830114, 0.3373622, 0.2842909, 0.28220552, 0.27200004, 0.27040786]","[[233.95, 121.79, 96.76, 96.62], [403.8, 159.46, 43.85, 68.95], [216.47, 243.07, 119.73, 45.6], [39.02, 7.84, 600.98, 417.16], [272.62, 110.45, 120.29, 96.28], [344.67, 46.69, 292.05, 128.44], [359.01, 296.58, 69.65, 27.06], [226.52, 197.72, 36.93, 63.53], [161.54, 184.38, 14.95, 18.72]]"
7,/home/pi/sambashare/BacArbeit/cocoval2017/000000150638.jpg,2.218712324999615,"['39: bottle', '41: cup', '0: person', '41: cup', '39: bottle', '0: person', '0: person', '39: bottle', '41: cup', '56: chair', '41: cup', '39: bottle']","[39, 41, 0, 41, 39, 0, 0, 39, 41, 56, 41, 39]","[0.8932571, 0.88833743, 0.7911023, 0.7755522, 0.7753504, 0.7529513, 0.66417265, 0.57130593, 0.5392964, 0.43241292, 0.40690818, 0.3330634]","[[383.2, 111.72, 54.76, 130.98], [359.28, 247.48, 50.59, 71.6], [187.9, 0.73, 143.54, 94.34], [514.46, 194.47, 38.97, 56.99], [551.55, 110.57, 44.44, 116.18], [498.15, 0.73, 80.86, 73.89], [145.79, 9.39, 50.63, 81.05], [440.73, 99.76, 26.32, 54.33], [512.54, 172.49, 37.47, 28.85], [145.77, 64.33, 51.28, 54.64], [1.0, 67.8, 150.63, 294.06], [464.28, 100.48, 52.63, 99.59]]"
8,/home/pi/sambashare/BacArbeit/cocoval2017/000000496722.jpg,2.220097063999674,"['2: car', '6: train', '2: car', '10: fire hydrant', '11: stop sign', '2: car']","[2, 6, 2, 10, 11, 2]","[0.7152651, 0.64092493, 0.41423312, 0.32361555, 0.30445185, 0.29113656]","[[284.23, 152.02, 16.36, 9.98], [477.19, 59.85, 161.36, 147.03], [344.67, 150.1, 17.12, 8.04], [3.49, 0.56, 165.44, 331.95], [284.27, 121.92, 32.76, 32.6], [312.47, 154.88, 12.84, 6.8]]"
9,/home/pi/sambashare/BacArbeit/cocoval2017/000000167898.jpg,2.217852834999576,"['61: toilet', '71: sink', '39: bottle']","[61, 71, 39]","[0.811983, 0.8093756, 0.7296879]","[[370.65, 272.82, 246.74, 207.18], [247.93, 181.9, 219.67, 93.71], [434.41, 78.63, 28.66, 75.01]]"
