,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/cocoval2017/000000571718.jpg,4.761071918001107,"['0: person', '0: person', '56: chair', '56: chair', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana']","[0, 0, 56, 56, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]","[0.90551734, 0.8254427, 0.8113232, 0.72974706, 0.6749038, 0.62835455, 0.61715853, 0.590419, 0.5363563, 0.5036439, 0.49907303, 0.4894793, 0.48196703, 0.4337311, 0.3637677, 0.34890392, 0.34273085, 0.33259147, 0.32499808, 0.28323305, 0.28194052]","[[427.07, 0.74, 193.4, 419.09], [221.22, 10.29, 76.29, 64.92], [0.0, 45.65, 39.88, 143.58], [32.57, 52.91, 59.64, 140.69], [225.44, 159.66, 77.42, 75.9], [108.84, 209.71, 82.96, 72.57], [205.39, 237.89, 60.11, 61.49], [65.68, 253.05, 80.78, 46.36], [1.2, 238.94, 72.96, 48.78], [264.41, 147.99, 87.94, 40.29], [163.63, 198.3, 55.37, 74.64], [17.33, 202.07, 89.28, 49.28], [288.97, 218.45, 58.15, 62.69], [248.44, 226.65, 74.06, 64.57], [315.58, 202.95, 45.31, 61.84], [196.27, 178.31, 47.72, 59.05], [308.91, 284.45, 52.36, 26.84], [374.1, 197.19, 51.82, 36.93], [337.38, 258.65, 56.22, 45.91], [342.21, 251.94, 52.06, 26.33], [145.11, 269.05, 71.12, 33.81]]"
1,/home/pi/sambashare/BacArbeit/cocoval2017/000000529568.jpg,5.671504432000802,"['75: vase', '62: tv', '60: dining table', '73: book', '56: chair', '73: book', '45: bowl', '69: oven', '73: book', '73: book', '75: vase', '41: cup', '73: book', '41: cup', '58: potted plant', '75: vase', '45: bowl', '41: cup', '73: book', '73: book']","[75, 62, 60, 73, 56, 73, 45, 69, 73, 73, 75, 41, 73, 41, 58, 75, 45, 41, 73, 73]","[0.80453575, 0.800923, 0.7253484, 0.5176037, 0.50886464, 0.46661663, 0.43974584, 0.41172388, 0.3978552, 0.38644707, 0.3670994, 0.350804, 0.33184946, 0.32505342, 0.30858967, 0.2966864, 0.2944584, 0.2873211, 0.27620992, 0.26648414]","[[0.0, 427.56, 21.77, 74.6], [286.28, 318.09, 84.43, 70.16], [0.8, 425.54, 226.72, 212.18], [373.94, 245.07, 12.73, 48.36], [161.14, 579.73, 151.2, 60.27], [360.82, 243.28, 15.48, 49.93], [68.26, 459.33, 28.87, 27.3], [132.04, 369.62, 144.99, 115.73], [389.98, 248.07, 14.39, 44.73], [381.36, 247.42, 13.44, 45.49], [13.96, 273.17, 32.08, 32.76], [103.18, 349.76, 13.68, 18.29], [355.81, 243.7, 14.09, 49.16], [72.49, 350.99, 15.9, 19.96], [0.76, 354.5, 66.67, 115.22], [13.84, 416.89, 32.17, 46.64], [42.96, 293.54, 19.04, 12.64], [88.76, 351.09, 13.13, 18.42], [405.38, 250.16, 14.1, 41.55], [63.26, 184.95, 40.34, 12.92]]"
2,/home/pi/sambashare/BacArbeit/cocoval2017/000000468577.jpg,6.11052082900278,"['0: person', '59: bed']","[0, 59]","[0.7386185, 0.55808246]","[[96.93, 264.14, 372.37, 186.47], [3.34, 254.93, 608.66, 330.64]]"
3,/home/pi/sambashare/BacArbeit/cocoval2017/000000151516.jpg,5.234631834999163,['14: bird'],[14],[0.76188177],"[[204.36, 228.47, 268.86, 87.64]]"
4,/home/pi/sambashare/BacArbeit/cocoval2017/000000350122.jpg,5.382761697001115,"['0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '0: person', '24: backpack', '0: person', '1: bicycle', '0: person', '24: backpack', '0: person', '24: backpack', '24: backpack', '6: train', '0: person', '0: person', '0: person', '0: person', '24: backpack', '0: person', '0: person', '0: person', '24: backpack', '0: person', '0: person', '6: train', '0: person']","[0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 0, 24, 0, 24, 24, 6, 0, 0, 0, 0, 24, 0, 0, 0, 24, 0, 0, 6, 0]","[0.89807045, 0.88533527, 0.84715813, 0.8066173, 0.78199136, 0.7316488, 0.7149108, 0.6901655, 0.68830675, 0.61974835, 0.52902395, 0.5231394, 0.50736505, 0.506075, 0.5060478, 0.49774477, 0.48509398, 0.48073623, 0.45881763, 0.43633336, 0.43000337, 0.4186995, 0.35153997, 0.3502026, 0.30380136, 0.29370132, 0.28163326, 0.2753155, 0.25442982]","[[30.23, 202.7, 70.58, 192.92], [364.97, 305.83, 79.56, 171.37], [204.07, 215.92, 50.93, 152.75], [92.85, 206.38, 48.94, 171.39], [534.84, 248.53, 20.09, 55.6], [498.62, 252.09, 19.65, 59.32], [147.62, 238.31, 46.87, 130.23], [88.48, 229.98, 34.7, 47.43], [274.12, 230.7, 32.82, 45.36], [347.69, 381.25, 57.69, 97.93], [395.96, 243.85, 16.96, 31.07], [242.94, 231.67, 32.98, 46.15], [473.15, 267.09, 12.74, 37.6], [324.38, 248.89, 21.51, 32.57], [144.44, 255.2, 26.75, 61.41], [2.82, 138.68, 189.56, 181.83], [446.94, 250.76, 17.18, 59.78], [610.29, 244.99, 18.39, 29.83], [367.98, 232.87, 27.3, 45.47], [242.2, 212.44, 37.01, 144.13], [343.02, 249.48, 22.55, 32.71], [305.53, 236.98, 39.52, 102.86], [524.94, 272.05, 13.54, 31.82], [485.48, 263.0, 14.63, 40.38], [401.73, 334.12, 44.09, 50.23], [519.16, 254.03, 15.02, 48.17], [409.37, 238.51, 16.3, 36.26], [230.46, 182.79, 107.88, 76.0], [347.98, 233.87, 21.55, 41.92]]"
5,/home/pi/sambashare/BacArbeit/cocoval2017/000000104803.jpg,5.212909357996978,['61: toilet'],[61],[0.84691757],"[[69.27, 49.68, 191.71, 428.48]]"
6,/home/pi/sambashare/BacArbeit/cocoval2017/000000288762.jpg,5.383368193000933,"['51: carrot', '51: carrot', '51: carrot', '44: spoon', '51: carrot', '51: carrot', '42: fork', '51: carrot', '51: carrot', '45: bowl', '51: carrot']","[51, 51, 51, 44, 51, 51, 42, 51, 51, 45, 51]","[0.84074175, 0.6451253, 0.55245113, 0.5484655, 0.545511, 0.49298775, 0.41745573, 0.3835284, 0.32742065, 0.28077915, 0.25208107]","[[232.93, 121.94, 101.74, 98.09], [216.3, 244.06, 127.95, 42.23], [407.35, 158.08, 37.8, 70.52], [245.29, 15.3, 394.71, 165.32], [161.76, 183.49, 14.97, 19.37], [226.21, 203.29, 40.6, 59.04], [244.15, 24.38, 111.71, 69.36], [433.3, 218.31, 46.13, 42.9], [321.03, 103.33, 83.33, 69.18], [28.99, 0.0, 592.04, 425.0], [360.11, 298.11, 68.38, 23.98]]"
7,/home/pi/sambashare/BacArbeit/cocoval2017/000000150638.jpg,5.594132504000299,"['0: person', '39: bottle', '39: bottle', '41: cup', '41: cup', '0: person', '41: cup', '39: bottle', '41: cup', '0: person', '39: bottle', '39: bottle', '0: person', '56: chair', '39: bottle']","[0, 39, 39, 41, 41, 0, 41, 39, 41, 0, 39, 39, 0, 56, 39]","[0.89461404, 0.8809528, 0.8746966, 0.8639645, 0.8212465, 0.7811945, 0.77542615, 0.7680012, 0.7616346, 0.7575471, 0.622674, 0.50139004, 0.45804274, 0.42816052, 0.34242633]","[[185.98, 0.0, 140.85, 93.34], [383.76, 111.99, 53.93, 129.94], [551.22, 103.16, 45.83, 121.7], [514.68, 194.23, 40.28, 56.71], [512.42, 170.65, 36.7, 29.77], [498.37, 0.0, 79.19, 74.53], [358.84, 247.07, 51.4, 71.87], [465.88, 100.59, 33.9, 53.35], [366.68, 138.95, 26.22, 42.7], [144.82, 10.12, 51.72, 84.23], [440.94, 98.23, 24.73, 55.27], [147.92, 170.52, 30.08, 64.95], [169.46, 7.72, 29.95, 45.05], [144.61, 55.82, 50.8, 61.6], [316.89, 146.16, 21.97, 28.64]]"
8,/home/pi/sambashare/BacArbeit/cocoval2017/000000496722.jpg,5.151932867000141,"['2: car', '2: car', '2: car', '2: car', '9: traffic light', '2: car', '2: car', '12: parking meter', '2: car']","[2, 2, 2, 2, 9, 2, 2, 12, 2]","[0.769172, 0.71778196, 0.57941914, 0.52738494, 0.40720806, 0.40282518, 0.35663462, 0.3377532, 0.2703717]","[[285.12, 151.72, 15.26, 10.61], [299.54, 150.58, 14.82, 9.15], [313.03, 150.19, 15.23, 10.01], [340.95, 148.44, 19.59, 9.47], [271.31, 134.27, 4.29, 10.17], [327.14, 149.31, 12.16, 7.56], [394.53, 147.73, 11.53, 10.05], [5.7, 11.12, 159.6, 344.32], [329.58, 148.34, 18.53, 8.15]]"
9,/home/pi/sambashare/BacArbeit/cocoval2017/000000167898.jpg,5.737868770000205,"['61: toilet', '71: sink', '39: bottle']","[61, 71, 39]","[0.90687454, 0.8075896, 0.7923407]","[[373.92, 272.59, 244.57, 207.41], [249.14, 178.74, 219.04, 97.38], [434.76, 76.85, 28.42, 78.06]]"
