,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/randomized_iamges/0.jpg,1.0651062650140375,[],[],[],[]
1,/home/pi/sambashare/BacArbeit/randomized_iamges/1.jpg,0.9775124430016149,[],[],[],[]
2,/home/pi/sambashare/BacArbeit/randomized_iamges/2.jpg,0.8794674709788524,[],[],[],[]
3,/home/pi/sambashare/BacArbeit/randomized_iamges/3.jpg,1.0764049760182388,[],[],[],[]
4,/home/pi/sambashare/BacArbeit/randomized_iamges/4.jpg,0.6984548710170202,[],[],[],[]
5,/home/pi/sambashare/BacArbeit/randomized_iamges/5.jpg,0.805742497992469,[],[],[],[]
6,/home/pi/sambashare/BacArbeit/randomized_iamges/6.jpg,0.9244466260133777,[],[],[],[]
7,/home/pi/sambashare/BacArbeit/randomized_iamges/7.jpg,0.8030036100244615,[],[],[],[]
8,/home/pi/sambashare/BacArbeit/randomized_iamges/8.jpg,0.9011034440190997,[],[],[],[]
9,/home/pi/sambashare/BacArbeit/randomized_iamges/9.jpg,0.7813411300012376,[],[],[],[]
10,/home/pi/sambashare/BacArbeit/randomized_iamges/10.jpg,0.7696227020060178,[],[],[],[]
11,/home/pi/sambashare/BacArbeit/randomized_iamges/11.jpg,0.9334359299973585,[],[],[],[]
12,/home/pi/sambashare/BacArbeit/randomized_iamges/12.jpg,0.814150547987083,[],[],[],[]
13,/home/pi/sambashare/BacArbeit/randomized_iamges/13.jpg,0.9631301650078967,[],[],[],[]
14,/home/pi/sambashare/BacArbeit/randomized_iamges/14.jpg,0.8358005130139645,[],[],[],[]
15,/home/pi/sambashare/BacArbeit/randomized_iamges/15.jpg,1.014292295993073,[],[],[],[]
16,/home/pi/sambashare/BacArbeit/randomized_iamges/16.jpg,0.9119283740001265,[],[],[],[]
17,/home/pi/sambashare/BacArbeit/randomized_iamges/17.jpg,0.9375821980065666,[],[],[],[]
18,/home/pi/sambashare/BacArbeit/randomized_iamges/18.jpg,1.0220001850102562,[],[],[],[]
19,/home/pi/sambashare/BacArbeit/randomized_iamges/19.jpg,1.0176399699994363,[],[],[],[]
20,/home/pi/sambashare/BacArbeit/randomized_iamges/20.jpg,0.873814818012761,[],[],[],[]
21,/home/pi/sambashare/BacArbeit/randomized_iamges/21.jpg,0.9284834259888157,[],[],[],[]
22,/home/pi/sambashare/BacArbeit/randomized_iamges/22.jpg,0.9005313550005667,[],[],[],[]
23,/home/pi/sambashare/BacArbeit/randomized_iamges/23.jpg,0.8487042670021765,[],[],[],[]
24,/home/pi/sambashare/BacArbeit/randomized_iamges/24.jpg,0.7566419810173102,[],[],[],[]
25,/home/pi/sambashare/BacArbeit/randomized_iamges/25.jpg,0.8532881399733014,[],[],[],[]
26,/home/pi/sambashare/BacArbeit/randomized_iamges/26.jpg,0.9085209439799655,[],[],[],[]
27,/home/pi/sambashare/BacArbeit/randomized_iamges/27.jpg,0.8137342830013949,[],[],[],[]
28,/home/pi/sambashare/BacArbeit/randomized_iamges/28.jpg,0.7509230360155925,[],[],[],[]
29,/home/pi/sambashare/BacArbeit/randomized_iamges/29.jpg,0.8040924340020865,[],[],[],[]
30,/home/pi/sambashare/BacArbeit/randomized_iamges/30.jpg,0.879852726997342,[],[],[],[]
