,Frameworks,Mean Latency [s],latency,Core Count,Load,Median Latency [s],Standard Deviation [s],Variance [s²]
0,ONNX,0.1161566853820005,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,One Core,No Load,0.11605752750000414,0.0006345037140195631,4.025949631046195e-07
1,ONNX,0.0820787913809908,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_44_ubuntus_4_onlylat.csv,Four Cores,No Load,0.08190364250003765,0.0009068307701145705,8.22342045626585e-07
2,ONNX,0.0847549268319987,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_15_ubuntus_3_onlylat.csv,Three Cores,No Load,0.08472235499999665,0.00038761532364886434,1.5024563912741387e-07
3,ONNX,0.0903953654509984,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_36_ubuntus_2_onlylat.csv,Two Cores,No Load,0.09036624899988505,0.0002763481718201719,7.636831206835126e-08
4,ONNX,0.082246985369999,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_27_ubuntus_False_onlylat.csv,Default,No Load,0.0821152309999888,0.0009089977462731889,8.262769027297368e-07
5,OpenVINO,0.0479397422809983,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_13_46_ubuntus_False_onlylat.csv,Default,No Load,0.04782501950001005,0.0010809323925112138,1.1684148371800166e-06
6,OpenVINO,0.0509913259010033,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_35_ubuntus_3_onlylat.csv,Three Cores,No Load,0.050935517000084404,0.0009431927610151289,8.89612584431342e-07
7,OpenVINO,0.0583515133789987,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_15_ubuntus_2_onlylat.csv,Two Cores,No Load,0.058313745000077646,0.00039163795627920086,1.5338028879854926e-07
8,OpenVINO,0.0805561009859916,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_13_ubuntus_1_onlylat.csv,One Core,No Load,0.08050123949988114,0.0006786142313822912,4.6051727503457786e-07
9,OpenVINO,0.048061176216996,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_37_ubuntus_4_onlylat.csv,Four Cores,No Load,0.0480225010001049,0.0005113113772478691,2.614393245031127e-07
10,Arm NN Delegate,0.0435639566129966,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_19_11_ubuntus_4_onlylat.csv,Four Cores,No Load,0.0427721025000664,0.003582984201882733,1.2837775790941247e-05
11,Arm NN Delegate,0.0659913477109994,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_18_47_ubuntus_1_onlylat.csv,One Core,No Load,0.06590599949998929,0.002955515825138088,8.735073792641675e-06
12,Arm NN Delegate,0.0511385932030022,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_18_58_ubuntus_2_onlylat.csv,Two Cores,No Load,0.051043386500054994,0.0030094306294869092,9.056672713693975e-06
13,Arm NN Delegate,0.0434001170709797,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_20_33_ubuntus_False_onlylat.csv,Default,No Load,0.0425131530000726,0.0035935214963251274,1.2913396744550783e-05
14,Arm NN Delegate,0.0456061271640016,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_19_0_ubuntus_3_onlylat.csv,Three Cores,No Load,0.045480183000108754,0.002892693516665776,8.367675781360214e-06
15,PyTorch,0.2046591064470121,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_15_14_31_ubuntus_2_onlylat.csv,Two Cores,No Load,0.20057692199952726,0.03458366242818483,0.001196029706946643
16,PyTorch,0.1996326411289942,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_16_14_44_ubuntus_4_onlylat.csv,Four Cores,No Load,0.19717924549991034,0.03438324284700143,0.0011822073886758751
17,PyTorch,0.2086257464399923,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_15_14_20_ubuntus_False_onlylat.csv,Default,No Load,0.20699222249982085,0.04046881371545746,0.001637724883536398
