,model_name,latency avg,latency,thread count,load
0,onnx,0.1161566853820005,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,1,No load
1,onnx,0.0820787913809908,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_44_ubuntus_4_onlylat.csv,4,No load
2,onnx,0.0847549268319987,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_15_ubuntus_3_onlylat.csv,3,No load
3,onnx,0.0903953654509984,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_36_ubuntus_2_onlylat.csv,2,No load
4,onnx,0.082246985369999,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_27_ubuntus_False_onlylat.csv,Default,No load
5,openvino,0.0479397422809983,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_13_46_ubuntus_False_onlylat.csv,Default,No load
6,openvino,0.0509913259010033,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_35_ubuntus_3_onlylat.csv,3,No load
7,openvino,0.0583515133789987,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_15_ubuntus_2_onlylat.csv,2,No load
8,openvino,0.0805561009859916,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_13_ubuntus_1_onlylat.csv,1,No load
9,openvino,0.048061176216996,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_37_ubuntus_4_onlylat.csv,4,No load
10,delegate,0.0435639566129966,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_19_11_ubuntus_4_onlylat.csv,4,No load
11,delegate,0.0659913477109994,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_18_47_ubuntus_1_onlylat.csv,1,No load
12,delegate,0.0511385932030022,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_18_58_ubuntus_2_onlylat.csv,2,No load
13,delegate,0.0434001170709797,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_20_33_ubuntus_False_onlylat.csv,Default,No load
14,delegate,0.0456061271640016,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_19_0_ubuntus_3_onlylat.csv,3,No load
20,tf,0.0373705926220081,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_14_15_ubuntus_4_onlylat.csv,4,No load
21,tf,0.043961000051006,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_13_44_ubuntus_2_onlylat.csv,2,No load
22,tf,0.0383728447200005,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_13_14_ubuntus_3_onlylat.csv,3,No load
23,tf,0.0622351217420002,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_12_41_ubuntus_1_onlylat.csv,1,No load
24,tf,0.0631363391989879,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_1_20_15_ubuntus_False_onlylat.csv,Default,No load
25,onnx,0.1865504084169806,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_52_ubuntus_3_onlylat.csv,3,3 thread load
26,onnx,0.1527125218389901,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_47_ubuntus_2_onlylat.csv,2,3 thread load
27,onnx,0.2134092125419965,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_57_ubuntus_4_onlylat.csv,4,3 thread load
28,onnx,0.2164648143620943,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_17_1_26_ubuntus_False_onlylat.csv,Default,3 thread load
29,onnx,0.1289522751729919,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_44_ubuntus_1_onlylat.csv,1,3 thread load
30,openvino,0.0681226615010091,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_13_ubuntus_4_onlylat.csv,4,3 thread load
31,openvino,0.080084867484993,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_5_ubuntus_2_onlylat.csv,2,3 thread load
32,openvino,0.0689857582790718,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_17_1_30_ubuntus_False_onlylat.csv,Default,3 thread load
33,openvino,0.0735781894289739,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_9_ubuntus_3_onlylat.csv,3,3 thread load
34,openvino,0.0915103008259884,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_2_ubuntus_1_onlylat.csv,1,3 thread load
35,delegate,0.0862069950459972,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_39_ubuntus_3_onlylat.csv,3,3 thread load
36,delegate,0.0741350276910043,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_32_ubuntus_1_onlylat.csv,1,3 thread load
37,delegate,0.0807639500869863,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_42_ubuntus_4_onlylat.csv,4,3 thread load
38,delegate,0.0878180380900011,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_23_15_ubuntus_False_onlylat.csv,Default,3 thread load
39,delegate,0.0839241199710122,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_37_ubuntus_2_onlylat.csv,2,3 thread load
45,tf,0.6065201287330015,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_9_ubuntus_2_onlylat.csv,2,3 thread load
46,tf,0.0755894631151531,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_12_ubuntus_False_onlylat.csv,Default,3 thread load
47,tf,0.0757335246969997,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_6_ubuntus_1_onlylat.csv,1,3 thread load
48,tf,0.8444606675689961,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_25_ubuntus_3_onlylat.csv,3,3 thread load
49,tf,0.9266758282720088,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_40_ubuntus_4_onlylat.csv,4,3 thread load
50,onnx,0.0938405806019977,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_55_ubuntus_2_onlylat.csv,2,1 thread load
51,onnx,0.1492147220920092,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_16_14_53_ubuntus_False_onlylat.csv,Default,1 thread load
52,onnx,0.139374537200998,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_17_0_ubuntus_4_onlylat.csv,4,1 thread load
53,onnx,0.1177095404899984,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_52_ubuntus_1_onlylat.csv,1,1 thread load
54,onnx,0.0898111342210029,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_57_ubuntus_3_onlylat.csv,3,1 thread load
55,openvino,0.0551402397980013,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_15_5_ubuntus_False_onlylat.csv,Default,1 thread load
56,openvino,0.0535334376700006,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_13_ubuntus_3_onlylat.csv,3,1 thread load
57,openvino,0.0841075399879989,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_9_ubuntus_1_onlylat.csv,1,1 thread load
58,openvino,0.0610505718399999,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_11_ubuntus_2_onlylat.csv,2,1 thread load
59,openvino,0.0552967977470008,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_15_ubuntus_4_onlylat.csv,4,1 thread load
60,delegate,0.0694007530249989,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_11_ubuntus_1_onlylat.csv,1,1 thread load
61,delegate,0.0481659273099944,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_20_ubuntus_3_onlylat.csv,3,1 thread load
62,delegate,0.0538901142509943,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_14_ubuntus_2_onlylat.csv,2,1 thread load
63,delegate,0.058828134468998,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_22_ubuntus_4_onlylat.csv,4,1 thread load
64,delegate,0.0612019066190036,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_14_51_ubuntus_False_onlylat.csv,Default,1 thread load
70,tf,0.0671744832719994,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_52_ubuntus_1_onlylat.csv,1,1 thread load
71,tf,0.0427529789760004,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_57_ubuntus_3_onlylat.csv,3,1 thread load
72,tf,0.0782631239480396,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_10_ubuntus_False_onlylat.csv,Default,1 thread load
73,tf,0.0482589059050014,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_55_ubuntus_2_onlylat.csv,2,1 thread load
74,tf,0.4158321084219981,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_59_ubuntus_4_onlylat.csv,4,1 thread load
75,onnx,0.198314172831002,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_16_15_12_ubuntus_False_onlylat.csv,Default,2 thread load
76,onnx,0.0989384927610117,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_40_ubuntus_2_onlylat.csv,2,2 thread load
77,onnx,0.1829838508889852,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_46_ubuntus_4_onlylat.csv,4,2 thread load
78,onnx,0.1440088065620029,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_42_ubuntus_3_onlylat.csv,3,2 thread load
79,onnx,0.1244575558350142,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_37_ubuntus_1_onlylat.csv,1,2 thread load
80,openvino,0.0655716295209858,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_53_ubuntus_2_onlylat.csv,2,2 thread load
81,openvino,0.0613546758569754,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_57_ubuntus_4_onlylat.csv,4,2 thread load
82,openvino,0.0879977231440097,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_50_ubuntus_1_onlylat.csv,1,2 thread load
