model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency,thread count
mobilenetv2-12,s,onnx,class,0.0914232247750001,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12/mobilenetv2-12_onnx_class_2024_5_14_15_59_ubuntu_s_3_onlylat.csv,3
mobilenetv2-12,s,onnx,class,0.0838331555269942,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12/mobilenetv2-12_onnx_class_2024_5_14_16_43_ubuntu_s_4_onlylat.csv,4
mobilenetv2-12-int8,s,onnx,class,0.0302488456780012,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12-int8/mobilenetv2-12-int8_onnx_class_2024_5_23_10_13_ubuntu_s_3_onlylat.csv,3
mobilenetv2-12-int8,s,onnx,class,0.0277860085429987,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12-int8/mobilenetv2-12-int8_onnx_class_2024_5_23_10_43_ubuntu_s_4_onlylat.csv,4
mobilenetv3_large_100_Opset17,s,onnx,class,0.0847549268319987,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_large_100_Opset17/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_15_ubuntu_s_3_onlylat.csv,3
mobilenetv3_large_100_Opset17,s,onnx,class,0.0820787913809908,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_large_100_Opset17/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_44_ubuntu_s_4_onlylat.csv,4
mobilenetv3_small_050_Opset17,s,onnx,class,0.0194742608400009,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_050_Opset17/mobilenetv3_small_050_Opset17_onnx_class_2024_5_23_10_18_ubuntu_s_3_onlylat.csv,3
mobilenetv3_small_050_Opset17,s,onnx,class,0.0198556269480035,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_050_Opset17/mobilenetv3_small_050_Opset17_onnx_class_2024_5_23_10_48_ubuntu_s_4_onlylat.csv,4
mobilenetv3_small_075_Opset17,s,onnx,class,0.0287323090470006,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_075_Opset17/mobilenetv3_small_075_Opset17_onnx_class_2024_5_23_10_17_ubuntu_s_3_onlylat.csv,3
mobilenetv3_small_075_Opset17,s,onnx,class,0.028697090448995773,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_075_Opset17/mobilenetv3_small_075_Opset17_onnx_class_2024_5_23_10_46_ubuntu_s_4_onlylat.csv,4
