model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency,thread count
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0150099659430051,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_18_55_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0092678795389328,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_19_25_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0073078981100733,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_20_2_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0066351277700086,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_20_32_ubuntus_4_onlylat.csv,4
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0194159381429871,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_16_51_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0143632218960264,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_17_26_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0124269487009841,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_17_56_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.011780912874059,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_18_25_ubuntus_4_onlylat.csv,4
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0480333823650134,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_14_45_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0274075748279955,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_15_15_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0204590751989689,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_15_51_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0172062224680157,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_16_21_ubuntus_4_onlylat.csv,4
lite-model_mobilenet_v3_large_100_224_fp32_1,ubuntus,tf,class,0.0622351217420002,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_12_41_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v3_large_100_224_fp32_1,ubuntus,tf,class,0.0383728447200005,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_13_14_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v3_large_100_224_fp32_1,ubuntus,tf,class,0.043961000051006,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_13_44_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v3_large_100_224_fp32_1,ubuntus,tf,class,0.0373705926220081,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_14_15_ubuntus_4_onlylat.csv,4
lite-model_mobilenet_v2_100_224_uint8_1,ubuntus,tf,class,0.0598529364598652,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_4_22_23_13_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v2_100_224_uint8_1,ubuntus,tf,class,0.0315798333019992,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_4_22_23_43_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v2_100_224_uint8_1,ubuntus,tf,class,0.0219871546350695,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_4_23_0_13_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v2_100_224_uint8_1,ubuntus,tf,class,0.0185473581228506,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_4_23_0_43_ubuntus_4_onlylat.csv,4
lite-model_mobilenet_v2_100_224_fp32_1,ubuntus,tf,class,0.07522261845311,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_4_22_21_2_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v2_100_224_fp32_1,ubuntus,tf,class,0.048512886134089,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_4_22_21_33_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v2_100_224_fp32_1,ubuntus,tf,class,0.0425947644488987,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_4_22_22_7_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v2_100_224_fp32_1,ubuntus,tf,class,0.04315728213280086,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_4_22_22_42_ubuntus_4_onlylat.csv,4
