,mean latency,thread,api,load
0,0.3876625130510002,default,onnx_runtime,0 core load
1,0.430812885254054,3,onnx_runtime,1 core load
2,0.5317663169040016,2,onnx_runtime,2 cores load
3,0.8583940434870019,2,onnx_runtime,3 cores load
4,0.4180075074669962,4,Openvino,0 core load
5,0.4753807687309818,3,Openvino,1 core load
6,0.5895907081141704,2,Openvino,2 cores load
7,0.7144031268208928,default,Openvino,3 cores load
8,0.3719296604240171,4,Armnn Delegate,0 core load
9,0.4034299533310241,3,Armnn Delegate,1 core load
10,0.4740836162791674,2,Armnn Delegate,2 cores load
11,0.6598353488620633,4,Armnn Delegate,3 cores load
12,0.3086282196590282,4,tensorflow_runtime,0 core load
13,0.3588171528240086,3,tensorflow_runtime,1 core load
14,0.4515184321876295,2,tensorflow_runtime,2 cores load
15,0.704249947693097,default,tensorflow_runtime,3 cores load
