         7099 function calls (7040 primitive calls) in 0.449 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.449    0.449 detection.py:419(pyarmnn)
        1    0.000    0.000    0.196    0.196 /usr/lib/python3/dist-packages/pyarmnn/_generated/pyarmnn.py:4585(EnqueueWorkload)
        1    0.196    0.196    0.196    0.196 {built-in method pyarmnn._generated._pyarmnn.IRuntime_EnqueueWorkload}
        1    0.000    0.000    0.074    0.074 /usr/lib/python3/dist-packages/pyarmnn/_generated/pyarmnn_tfliteparser.py:696(CreateNetworkFromBinaryFile)
        1    0.074    0.074    0.074    0.074 {built-in method pyarmnn._generated._pyarmnn_tfliteparser.ITfLiteParser_CreateNetworkFromBinaryFile}
        1    0.000    0.000    0.052    0.052 /usr/lib/python3/dist-packages/pyarmnn/_generated/pyarmnn.py:4631(__init__)
        1    0.052    0.052    0.052    0.052 {built-in method pyarmnn._generated._pyarmnn.new_IRuntime}
        1    0.003    0.003    0.047    0.047 detection.py:320(write_profiling_data_pyarmnn)
        1    0.003    0.003    0.037    0.037 /usr/lib/python3/dist-packages/pyarmnn/_utilities/profiling_helper.py:43(get_profiling_data)
        1    0.001    0.001    0.025    0.025 detection.py:133(output_data_pyarmnn)
        1    0.000    0.000    0.023    0.023 /usr/lib/python3/dist-packages/pyarmnn/_generated/pyarmnn.py:4098(as_json)
        1    0.023    0.023    0.023    0.023 {built-in method pyarmnn._generated._pyarmnn.IProfiler_as_json}
        1    0.000    0.000    0.022    0.022 detection.py:274(preprocess_image_tflite_ssd_mobilenet_v1)
        1    0.000    0.000    0.016    0.016 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:3174(open)
        1    0.000    0.000    0.016    0.016 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:321(preinit)
     13/5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     19/5    0.000    0.000    0.015    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      9/5    0.000    0.000    0.015    0.003 {built-in method builtins.__import__}
     10/5    0.000    0.000    0.015    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
     10/5    0.000    0.000    0.015    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.015    0.015    0.015    0.015 {imwrite}
        1    0.000    0.000    0.014    0.014 /usr/lib/python3/dist-packages/pyarmnn/_generated/pyarmnn.py:4569(LoadNetwork)
        1    0.014    0.014    0.014    0.014 {built-in method pyarmnn._generated._pyarmnn.IRuntime_LoadNetwork}
     10/5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
     10/5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap_external>:842(exec_module)
        1    0.000    0.000    0.013    0.013 /usr/lib/python3/dist-packages/pyarmnn/_generated/pyarmnn.py:4019(Optimize)
        1    0.013    0.013    0.013    0.013 {built-in method pyarmnn._generated._pyarmnn.Optimize}
     10/5    0.000    0.000    0.010    0.002 {built-in method builtins.exec}
