,image,inference time,label1,index1,value1,label2,index2,value2,label3,index3,value3,label4,index4,value4,label5,index5,value5
0,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003042.JPEG,0.17029372500019235,washer,898,0.001524594845250249,Egyptian cat,286,0.024170827120542526,tiger cat,283,0.1291433870792389,tabby,282,0.8168818354606628,plastic bag,729,0.0017559059197083116
1,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003151.JPEG,0.060757454000849975,gong,578,0.03661416471004486,coil,507,0.10601432621479034,vault,885,0.14012371003627777,dome,539,0.3171384036540985,library,625,0.041479986160993576
2,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007130.JPEG,0.06305973600046855,cricket,313,0.0018083939794450998,lacewing,319,0.0035604857839643955,grasshopper,312,0.004111418500542641,walking stick,314,0.02315773256123066,mantis,316,0.946725070476532
3,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007498.JPEG,0.06299671800024953,car wheel,480,0.01194323692470789,grille,582,0.013916554860770702,cab,469,0.021319668740034103,racer,752,0.7509742975234985,sports car,818,0.12363462150096893
4,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003288.JPEG,0.06407528599993384,bell pepper,946,0.006634650286287069,grocery store,583,0.010689754039049149,fig,953,0.0091886380687356,buckeye,991,0.8500905632972717,pomegranate,958,0.013618580996990204
5,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002097.JPEG,0.06291773700013437,shopping basket,791,0.035951606929302216,Airedale,192,0.049899838864803314,Irish setter,214,0.06464123725891113,Australian terrier,194,0.10814035683870316,Irish terrier,185,0.21183548867702484
6,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009420.JPEG,0.06277492299977894,sandbar,978,0.03182806074619293,electric ray,6,0.03344234824180603,leatherback turtle,35,0.31253334879875183,volcano,981,0.059959776699543,shovel,793,0.03969376161694527
7,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006495.JPEG,0.06330464200073038,Irish wolfhound,171,0.0038082508835941553,whippet,173,0.0038869353011250496,Scottish deerhound,178,0.004183317068964243,borzoi,170,0.9148606657981873,collie,232,0.018478499725461006
8,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006000.JPEG,0.06452648699996644,bucket,464,0.020510993897914886,tricycle,871,0.023412777110934258,swing,844,0.024360138922929764,ice lolly,930,0.027967697009444237,diaper,530,0.3187943398952484
9,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003926.JPEG,0.06285286799993628,chest,493,0.012628079392015934,shopping cart,792,0.022319264709949493,photocopier,714,0.03378339111804962,crate,520,0.49940934777259827,carton,479,0.3364984691143036
10,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006476.JPEG,0.06313179099925037,shovel,793,0.01536797545850277,parallel bars,703,0.033322110772132874,military uniform,653,0.019823182374238968,ballplayer,982,0.22130785882472992,crutch,524,0.3009243905544281
11,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00005083.JPEG,0.0643116920000466,patas,372,0.057504598051309586,Madagascar cat,384,0.0864868313074112,guenon,371,0.1211143434047699,titi,381,0.13217753171920776,indri,385,0.328845739364624
12,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00000023.JPEG,0.06386662100067042,banana,955,0.0010871280683204532,fig,953,0.0011619396973401308,orange,951,0.001444976544007659,Granny Smith,949,0.9675973057746887,lemon,952,0.0028072213754057884
13,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002072.JPEG,0.06334836599944538,Persian cat,284,0.0039347331039607525,lynx,288,0.007861519232392311,tiger cat,283,0.36849042773246765,Egyptian cat,286,0.28547632694244385,tabby,282,0.21624453365802765
14,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009193.JPEG,0.05684110799938935,tick,79,0.0015928432112559676,snail,114,0.00370339909568429,acorn,989,0.00413490692153573,nail,678,0.9668203592300415,slug,115,0.005573042668402195
15,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009754.JPEG,0.06411923199993907,terrapin,37,0.044835176318883896,slug,115,0.049130406230688095,water snake,59,0.07427293807268143,green lizard,47,0.15799708664417267,black and gold garden spider,73,0.05714422091841698
16,/home/pi/sambashare/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001076.JPEG,0.06263394400048128,cup,969,0.01601974479854107,spotlight,819,0.016751181334257126,pill bottle,721,0.5580958724021912,lampshade,620,0.11528870463371277,water bottle,899,0.0341293029487133
