,ncalls,tottime,percall_tot,cumtime,percall_cum,filename:lineno(function)
0,        1,   0.001,   0.001,   0.837,   0.837,/home/pi/sambashare/BacArbeit/scripts/inf/classification.py:15(run_tf)
1,       10,   0.443,   0.044,   0.443,   0.044,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:928(invoke)
2,       10,   0.059,   0.006,   0.239,   0.024,/home/pi/sambashare/BacArbeit/scripts/lib/preprocess.py:2(preprocess_tflite_moobilenet)
3,       10,   0.001,   0.000,   0.158,   0.016,/home/pi/.local/lib/python3.10/site-packages/PIL/Image.py:2118(resize)
4,        2,   0.000,   0.000,   0.095,   0.048,{built-in method builtins.print}
5,        1,   0.000,   0.000,   0.095,   0.095,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:1126(__repr__)
6,        1,   0.000,   0.000,   0.094,   0.094,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:1232(to_string)
7,        1,   0.000,   0.000,   0.094,   0.094,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1077(to_string)
8,        1,   0.000,   0.000,   0.092,   0.092,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:28(to_string)
9,        1,   0.000,   0.000,   0.092,   0.092,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
10,       10,   0.085,   0.009,   0.085,   0.009,{method 'resize' of 'ImagingCore' objects}
11,        1,   0.072,   0.072,   0.072,   0.072,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:529(allocate_tensors)
12,       20,   0.002,   0.000,   0.071,   0.004,/home/pi/.local/lib/python3.10/site-packages/PIL/ImageFile.py:175(load)
13,        1,   0.000,   0.000,   0.063,   0.063,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:153(_fit_strcols_to_terminal_width)
14,       30,   0.060,   0.002,   0.060,   0.002,{method 'decode' of 'ImagingDecoder' objects}
15,       10,   0.000,   0.000,   0.058,   0.006,/home/pi/sambashare/BacArbeit/scripts/lib/data.py:113(create_pandas_dataframe)
16,       10,   0.000,   0.000,   0.058,   0.006,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:668(__init__)
17,       10,   0.000,   0.000,   0.057,   0.006,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
18,       10,   0.000,   0.000,   0.049,   0.005,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
19,        2,   0.000,   0.000,   0.040,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:34(_get_strcols)
20,        2,   0.000,   0.000,   0.039,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:611(get_strcols)
21,        2,   0.001,   0.000,   0.038,   0.019,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:843(_get_strcols_without_index)
22,       23,   0.001,   0.000,   0.032,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:890(format_col)
23,      232,   0.004,   0.000,   0.030,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/construction.py:518(sanitize_array)
24,        1,   0.000,   0.000,   0.027,   0.027,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:163(<listcomp>)
25,       10,   0.000,   0.000,   0.024,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2068(create_block_manager_from_column_arrays)
26,       10,   0.001,   0.000,   0.023,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:596(_homogenize)
27,       23,   0.001,   0.000,   0.019,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1217(format_array)
28,       23,   0.000,   0.000,   0.017,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1328(get_result)
29,       41,   0.002,   0.000,   0.016,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/series.py:371(__init__)
30,      200,   0.001,   0.000,   0.016,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:119(maybe_convert_platform)
31,      293,   0.009,   0.000,   0.015,   0.000,{pandas._libs.lib.maybe_convert_objects}
32,       10,   0.000,   0.000,   0.015,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/series.py:5047(drop)
33,      8/4,   0.000,   0.000,   0.015,   0.004,<frozen importlib._bootstrap>:1022(_find_and_load)
34,       10,   0.000,   0.000,   0.015,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:4680(drop)
35,      8/4,   0.000,   0.000,   0.014,   0.004,<frozen importlib._bootstrap>:987(_find_and_load_unlocked)
36,       10,   0.000,   0.000,   0.014,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:4719(_drop_axis)
37,       19,   0.000,   0.000,   0.014,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/accessor.py:3022(len)
38,       12,   0.000,   0.000,   0.013,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1744(_consolidate_inplace)
39,       26,   0.000,   0.000,   0.013,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:1139(__getitem__)
40,      7/4,   0.000,   0.000,   0.012,   0.003,<frozen importlib._bootstrap>:664(_load_unlocked)
41,      6/4,   0.000,   0.000,   0.011,   0.003,<frozen importlib._bootstrap_external>:877(exec_module)
42,9810/9780,   0.006,   0.000,   0.011,   0.000,{built-in method builtins.isinstance}
43,       10,   0.000,   0.000,   0.011,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2207(_consolidate)
44,       25,   0.000,   0.000,   0.011,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:1651(_getitem_tuple)
45,     12/4,   0.000,   0.000,   0.010,   0.003,<frozen importlib._bootstrap>:233(_call_with_frames_removed)
46,  561/499,   0.004,   0.000,   0.010,   0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
47,       10,   0.003,   0.000,   0.010,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2137(_form_blocks)
48,       10,   0.000,   0.000,   0.009,   0.001,/home/pi/.local/lib/python3.10/site-packages/PIL/Image.py:3225(open)
49,      6/4,   0.000,   0.000,   0.009,   0.002,{built-in method builtins.exec}
50,      4/3,   0.000,   0.000,   0.009,   0.003,{built-in method builtins.__import__}
51,        1,   0.000,   0.000,   0.009,   0.009,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:1(<module>)
52,       10,   0.000,   0.000,   0.008,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:6953(drop)
53,    38/37,   0.000,   0.000,   0.008,   0.000,<frozen importlib._bootstrap>:1053(_handle_fromlist)
54,       19,   0.001,   0.000,   0.008,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/accessor.py:254(_wrap_result)
55,  444/421,   0.002,   0.000,   0.008,   0.000,{built-in method numpy.asarray}
56,       26,   0.000,   0.000,   0.007,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:1681(_getitem_axis)
57,       21,   0.001,   0.000,   0.007,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:477(__new__)
58,        1,   0.000,   0.000,   0.007,   0.007,/home/pi/sambashare/BacArbeit/scripts/lib/data.py:117(store_pandas_data_frame_as_csv)
59,        1,   0.000,   0.000,   0.007,   0.007,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:3720(to_csv)
60,        6,   0.000,   0.000,   0.007,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1608(_format_strings)
61,       25,   0.001,   0.000,   0.006,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:1006(_getitem_lowerdim)
62,        6,   0.001,   0.000,   0.006,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1480(get_result_as_array)
63,      321,   0.002,   0.000,   0.006,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/numeric.py:289(full)
64,        1,   0.000,   0.000,   0.006,   0.006,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1103(to_csv)
65,        9,   0.001,   0.000,   0.006,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1332(_format_strings)
66,       21,   0.000,   0.000,   0.006,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:3858(get_indexer)
67,       49,   0.001,   0.000,   0.006,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1909(_make_fixed_width)
68,       10,   0.006,   0.001,   0.006,   0.001,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:704(set_tensor)
69,        7,   0.000,   0.000,   0.006,   0.001,<frozen importlib._bootstrap>:564(module_from_spec)
70,       30,   0.001,   0.000,   0.006,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2224(_merge_blocks)
71,      234,   0.000,   0.000,   0.006,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/_config/config.py:271(__call__)
72,       46,   0.006,   0.000,   0.006,   0.000,{method 'astype' of 'numpy.ndarray' objects}
73,        1,   0.000,   0.000,   0.005,   0.005,<frozen importlib._bootstrap_external>:1174(create_module)
74,        1,   0.005,   0.005,   0.005,   0.005,{built-in method _imp.create_dynamic}
75,        6,   0.000,   0.000,   0.005,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1534(format_values_with)
76,       20,   0.000,   0.000,   0.005,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/Image.py:686(__array_interface__)
77,      235,   0.001,   0.000,   0.005,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/_config/config.py:145(_get_option)
78,        3,   0.000,   0.000,   0.005,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:789(truncate)
79,        1,   0.000,   0.000,   0.005,   0.005,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:799(_truncate_horizontally)
80,       19,   0.000,   0.000,   0.005,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/object_array.py:301(_str_len)
81,        1,   0.000,   0.000,   0.005,   0.005,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/csvs.py:242(save)
82,       19,   0.000,   0.000,   0.005,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/object_array.py:46(_str_map)
83,       20,   0.001,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/Image.py:726(tobytes)
84,       11,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:6076(get_indexer_for)
85,       10,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/Image.py:3292(_open_core)
86,       10,   0.000,   0.000,   0.004,   0.000,{built-in method builtins.sorted}
87,       90,   0.001,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1147(maybe_infer_to_datetimelike)
88,      340,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2212(<lambda>)
89,       19,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/series.py:6181(max)
90,       19,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:11955(max)
91,       10,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/ImageFile.py:314(load_prepare)
92,      406,   0.004,   0.000,   0.004,   0.000,{method 'read' of '_io.BufferedReader' objects}
93,       12,   0.001,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:691(_slice_take_blocks_ax0)
94,       23,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:3779(_ixs)
95,       19,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:11920(_stat_function)
96,       10,   0.004,   0.000,   0.004,   0.000,{built-in method PIL._imaging.new}
97,      170,   0.001,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/blocks.py:198(_consolidate_key)
98,        1,   0.004,   0.004,   0.004,   0.004,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:520(__del__)
99,       10,   0.000,   0.000,   0.004,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:839(jpeg_factory)
100,       10,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/ImageFile.py:108(__init__)
101,       19,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/series.py:6090(_reduce)
102,      105,   0.003,   0.000,   0.003,   0.000,{method 'reduce' of 'numpy.ufunc' objects}
103,        2,   0.000,   0.000,   0.003,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:915(_get_formatted_column_labels)
104,       19,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/accessor.py:220(__get__)
105,      237,   0.001,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/_config/config.py:127(_get_single_key)
106,       10,   0.000,   0.000,   0.003,   0.000,/usr/lib/python3.10/posixpath.py:392(realpath)
107,       30,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:411(load_read)
108,      197,   0.001,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/_dtype.py:344(_name_get)
109,        8,   0.000,   0.000,   0.003,   0.000,<frozen importlib._bootstrap>:921(_find_spec)
110,       19,   0.001,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/accessor.py:187(__init__)
111,      322,   0.001,   0.000,   0.003,   0.000,<__array_function__ internals>:177(copyto)
112,      190,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:101(isna)
113,       10,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:606(reindex_indexer)
114,5403/4837,   0.002,   0.000,   0.003,   0.000,{built-in method builtins.len}
115,     1283,   0.001,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
116,       19,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/nanops.py:111(f)
117,       10,   0.001,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:360(_open)
118,        6,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1988(_trim_zeros_float)
119,      170,   0.001,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/_asarray.py:22(require)
120,      190,   0.001,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:184(_isna)
121,       10,   0.002,   0.000,   0.003,   0.000,/home/pi/sambashare/BacArbeit/scripts/lib/postprocess.py:1(handle_output_tf)
122,        6,   0.000,   0.000,   0.003,   0.000,<frozen importlib._bootstrap_external>:950(get_code)
123,      200,   0.002,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1544(construct_1d_object_array_from_listlike)
124,       10,   0.001,   0.000,   0.003,   0.000,/usr/lib/python3.10/posixpath.py:401(_joinrealpath)
125,       19,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/nanops.py:389(new_func)
126,        8,   0.000,   0.000,   0.003,   0.000,<frozen importlib._bootstrap_external>:1431(find_spec)
127,        8,   0.000,   0.000,   0.003,   0.000,<frozen importlib._bootstrap_external>:1399(_get_spec)
128,       15,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/blocks.py:1041(take_nd)
129,       19,   0.000,   0.000,   0.003,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/nanops.py:1077(reduction)
130,      717,   0.002,   0.000,   0.002,   0.000,{built-in method numpy.empty}
131,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/core/reshape/concat.py:157(concat)
132,       90,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1355(_format)
133,       17,   0.000,   0.000,   0.002,   0.000,<frozen importlib._bootstrap_external>:1536(find_spec)
134,       47,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
135,       15,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/array_algos/take.py:59(take_nd)
136,      170,   0.002,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2194(_stack_arrays)
137,      133,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:6206(__setattr__)
138,       15,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/array_algos/take.py:121(_take_nd_ndarray)
139,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/io/common.py:652(get_handle)
140,       60,   0.002,   0.000,   0.002,   0.000,{method 'encode' of 'ImagingEncoder' objects}
141,       23,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:4387(_box_col_values)
142,        3,   0.000,   0.000,   0.002,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:1718(_get_slice_axis)
143,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/csvs.py:268(_save)
144,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/core/reshape/concat.py:618(get_result)
145,       49,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:903(_get_formatter)
146,        3,   0.000,   0.000,   0.002,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:4296(_slice)
147,      103,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:7512(ensure_index)
148,        6,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1486(format_with_na_rep)
149,        2,   0.000,   0.000,   0.002,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:978(_getitem_tuple_same_dim)
150,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:390(__init__)
151,       28,   0.000,   0.000,   0.002,   0.000,<__array_function__ internals>:177(all)
152,       25,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexing.py:931(_validate_tuple_indexer)
153,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/csvs.py:301(_save_body)
154,      223,   0.001,   0.000,   0.002,   0.000,{built-in method builtins.max}
155,      493,   0.000,   0.000,   0.002,   0.000,/usr/lib/python3.10/abc.py:117(__instancecheck__)
156,       21,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:6618(_maybe_cast_listlike_indexer)
157,       41,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1825(from_array)
158,       12,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1726(is_consolidated)
159,        1,   0.002,   0.002,   0.002,   0.002,{built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.CreateWrapperFromFile}
160,     1283,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:37(_check)
161,       12,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1734(_consolidate_check)
162,       56,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:6147(__finalize__)
163,        1,   0.000,   0.000,   0.002,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/csvs.py:311(_save_chunk)
164,       38,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:261(_isna_array)
165,       19,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/accessor.py:206(_validate)
166,      113,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/printing.py:162(pprint_thing)
167,      190,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/common.py:296(maybe_iterable_to_list)
168,        3,   0.000,   0.000,   0.002,   0.001,{method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
169,       10,   0.001,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:638(_extract_index)
170,       30,   0.000,   0.000,   0.002,   0.000,<__array_function__ internals>:177(vstack)
171,       28,   0.000,   0.000,   0.002,   0.000,/home/pi/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2406(all)
