         2485239 function calls (2437267 primitive calls) in 18.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   18.761   18.761 classification_v2.py:314(tflite_runtime)
   3387/6    0.062    0.000   17.280    2.880 <frozen importlib._bootstrap>:986(_find_and_load)
   3384/6    0.043    0.000   17.280    2.880 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   3312/6    0.049    0.000   17.277    2.880 <frozen importlib._bootstrap>:650(_load_unlocked)
   5655/6    0.010    0.000   17.277    2.879 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   3130/6    0.029    0.000   17.277    2.879 <frozen importlib._bootstrap_external>:842(exec_module)
   3568/6    0.106    0.000   17.267    2.878 {built-in method builtins.exec}
        1    0.002    0.002   17.251   17.251 /home/pi/.local/lib/python3.8/site-packages/tensorflow/__init__.py:15(<module>)
  2215/74    0.025    0.000   17.106    0.231 {built-in method builtins.__import__}
11845/186    0.037    0.000   16.861    0.091 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.001    0.001   12.467   12.467 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/__init__.py:15(<module>)
3308/3261    0.021    0.000    6.696    0.002 <frozen importlib._bootstrap>:549(module_from_spec)
  162/160    0.004    0.000    6.309    0.039 <frozen importlib._bootstrap_external>:1164(create_module)
  162/160    6.296    0.039    6.303    0.039 {built-in method _imp.create_dynamic}
        1    0.000    0.000    4.131    4.131 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/pywrap_tensorflow.py:15(<module>)
        1    0.000    0.000    4.124    4.124 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/platform/self_check.py:31(preload_check)
     3130    0.103    0.000    3.770    0.001 <frozen importlib._bootstrap_external>:914(get_code)
    19/10    0.000    0.000    3.503    0.350 /usr/lib/python3.8/importlib/__init__.py:109(import_module)
    24/10    0.000    0.000    3.503    0.350 <frozen importlib._bootstrap>:1002(_gcd_import)
        1    0.000    0.000    3.476    3.476 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/data/__init__.py:15(<module>)
        1    0.000    0.000    3.474    3.474 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/data/experimental/__init__.py:15(<module>)
        1    0.000    0.000    3.178    3.178 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/data/experimental/service/__init__.py:15(<module>)
        1    0.000    0.000    3.167    3.167 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/data/experimental/ops/data_service_ops.py:15(<module>)
        1    0.000    0.000    3.161    3.161 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/feature_column/feature_column_lib.py:15(<module>)
        7    0.000    0.000    3.142    0.449 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/lazy_loader.py:38(_load)
        1    0.000    0.000    3.094    3.094 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/feature_column/feature_column.py:15(<module>)
        1    0.000    0.000    3.078    3.078 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/layers/base.py:15(<module>)
        1    0.000    0.000    3.069    3.069 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/__init__.py:15(<module>)
        1    0.000    0.000    3.064    3.064 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/models.py:16(<module>)
     3130    0.104    0.000    2.578    0.001 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.000    0.000    2.552    2.552 /home/pi/.local/lib/python3.8/site-packages/keras/__init__.py:15(<module>)
        1    0.000    0.000    2.546    2.546 /home/pi/.local/lib/python3.8/site-packages/keras/models/__init__.py:15(<module>)
        1    0.000    0.000    2.501    2.501 /home/pi/.local/lib/python3.8/site-packages/keras/engine/functional.py:16(<module>)
