         734 function calls in 1.184 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.033    0.033    1.181    1.181 classification.py:106(tflite_runtime)
       12    0.941    0.078    0.941    0.078 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:904(invoke)
       12    0.002    0.000    0.149    0.012 classification.py:89(load_image)
       12    0.094    0.008    0.094    0.008 {imread}
        1    0.038    0.038    0.038    0.038 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:511(allocate_tensors)
       12    0.036    0.003    0.036    0.003 {imwrite}
       12    0.016    0.001    0.016    0.001 {resize}
       12    0.002    0.000    0.006    0.001 classification.py:19(return_n_biggest_result_tflite_runtime)
      121    0.006    0.000    0.006    0.000 {built-in method builtins.print}
       12    0.004    0.000    0.004    0.000 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:681(set_tensor)
       12    0.004    0.000    0.004    0.000 {built-in method numpy.array}
       24    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.002    0.002    0.002    0.002 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:502(__del__)
       12    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(expand_dims)
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:396(__init__)
       12    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(argpartition)
        1    0.001    0.001    0.001    0.001 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.CreateWrapperFromFile}
       12    0.000    0.000    0.001    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:512(expand_dims)
       12    0.000    0.000    0.001    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:792(argpartition)
       12    0.000    0.000    0.001    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
       12    0.001    0.000    0.001    0.000 {method 'argpartition' of 'numpy.ndarray' objects}
       60    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       12    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:668(__init__)
       12    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:837(get_tensor)
       12    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1348(normalize_axis_tuple)
       12    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       13    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:527(_ensure_safe)
