,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/randomized_iamges/0.jpg,3.441587871988304,[],[],[],[]
1,/home/pi/sambashare/BacArbeit/randomized_iamges/1.jpg,2.129467899998417,[],[],[],[]
2,/home/pi/sambashare/BacArbeit/randomized_iamges/2.jpg,2.1270677489956142,[],[],[],[]
3,/home/pi/sambashare/BacArbeit/randomized_iamges/3.jpg,2.127696889001527,[],[],[],[]
4,/home/pi/sambashare/BacArbeit/randomized_iamges/4.jpg,2.15590494099888,[],[],[],[]
5,/home/pi/sambashare/BacArbeit/randomized_iamges/5.jpg,2.127738702998613,[],[],[],[]
6,/home/pi/sambashare/BacArbeit/randomized_iamges/6.jpg,2.1273391709983116,[],[],[],[]
7,/home/pi/sambashare/BacArbeit/randomized_iamges/7.jpg,2.1292413669871166,[],[],[],[]
8,/home/pi/sambashare/BacArbeit/randomized_iamges/8.jpg,2.1320362359983847,[],[],[],[]
9,/home/pi/sambashare/BacArbeit/randomized_iamges/9.jpg,2.139196802992956,[],[],[],[]
10,/home/pi/sambashare/BacArbeit/randomized_iamges/10.jpg,2.1277061849978054,[],[],[],[]
11,/home/pi/sambashare/BacArbeit/randomized_iamges/11.jpg,2.142404350990546,[],[],[],[]
12,/home/pi/sambashare/BacArbeit/randomized_iamges/12.jpg,2.12935603299411,[],[],[],[]
13,/home/pi/sambashare/BacArbeit/randomized_iamges/13.jpg,2.127661871010787,[],[],[],[]
14,/home/pi/sambashare/BacArbeit/randomized_iamges/14.jpg,2.1308434380043764,[],[],[],[]
15,/home/pi/sambashare/BacArbeit/randomized_iamges/15.jpg,2.135618889995385,[],[],[],[]
16,/home/pi/sambashare/BacArbeit/randomized_iamges/16.jpg,2.1362906220019795,[],[],[],[]
17,/home/pi/sambashare/BacArbeit/randomized_iamges/17.jpg,2.130133669998031,[],[],[],[]
18,/home/pi/sambashare/BacArbeit/randomized_iamges/18.jpg,2.130214576012804,[],[],[],[]
19,/home/pi/sambashare/BacArbeit/randomized_iamges/19.jpg,2.1247030969971092,[],[],[],[]
20,/home/pi/sambashare/BacArbeit/randomized_iamges/20.jpg,2.1258987659966806,[],[],[],[]
21,/home/pi/sambashare/BacArbeit/randomized_iamges/21.jpg,2.1298987670015777,[],[],[],[]
22,/home/pi/sambashare/BacArbeit/randomized_iamges/22.jpg,2.1254559209919535,[],[],[],[]
23,/home/pi/sambashare/BacArbeit/randomized_iamges/23.jpg,2.1297829909890424,[],[],[],[]
