,image,inference time,label,index,value
0,/home/pi/sambashare/BacArbeit/images/dog.jpg,14.025354199000049,"['bird', 'bird', 'bird', 'bird', 'bird', 'bird', 'bird', 'bird']","[16, 16, 16, 16, 16, 16, 16, 16]","[0.733266, 0.61522907, 0.722394, 0.6033728, 0.73417777, 0.62542826, 0.71782845, 0.60967493]"
1,/home/pi/sambashare/BacArbeit/images/image_3_thumb.jpg,11.146141036000245,[],[],[]
2,/home/pi/sambashare/BacArbeit/images/image_4_thumb.jpg,11.095717021000382,[],[],[]
3,/home/pi/sambashare/BacArbeit/images/zebra.jpg,11.349460702000215,"['elephant', 'elephant', 'elephant', 'elephant', 'elephant', 'elephant']","[22, 22, 22, 22, 22, 22]","[0.93346155, 0.9209435, 0.56477743, 0.9258472, 0.9195086, 0.5448564]"
4,/home/pi/sambashare/BacArbeit/images/cat_2.jpg,11.096186118999867,"['bench', 'bench']","[15, 15]","[0.67854905, 0.62518036]"
5,/home/pi/sambashare/BacArbeit/images/image_1_thumb.jpg,11.097467885000242,[],[],[]
6,/home/pi/sambashare/BacArbeit/images/bottle_wine_glass.jpg,11.022210029000234,"['baseball bat', 'baseball bat', 'baseball bat', 'baseball bat', 'baseball glove', 'baseball glove', 'baseball glove', 'baseball bat', 'baseball bat', 'baseball bat', 'baseball glove', 'baseball glove', 'baseball glove']","[39, 39, 39, 39, 40, 40, 40, 39, 39, 39, 40, 40, 40]","[0.5719164, 0.7545948, 0.73823005, 0.9136338, 0.9506884, 0.9069282, 0.5995042, 0.7298063, 0.7364496, 0.8942865, 0.9475124, 0.8959325, 0.5873219]"
7,/home/pi/sambashare/BacArbeit/images/dog_2_640_640.jpg,10.735116238000046,"['train', 'train', 'train', 'train', 'train', 'train', 'bird', 'bird', 'train', 'train', 'train', 'person', 'person', 'bird', 'bird', 'bird', 'train', 'train', 'train', 'person', 'person', 'bird', 'bird', 'bird', 'person', 'person', 'bird', 'bird', 'bird']","[7, 7, 7, 7, 7, 7, 16, 16, 7, 7, 7, 1, 1, 16, 16, 16, 7, 7, 7, 1, 1, 16, 16, 16, 1, 1, 16, 16, 16]","[0.56075233, 0.9287792, 0.9266454, 0.55209076, 0.92601836, 0.9234426, 0.74623567, 0.7073505, 0.9396684, 0.9322732, 0.59912455, 0.94875777, 0.9488307, 0.765764, 0.94435173, 0.9385431, 0.9369282, 0.9329221, 0.59791005, 0.9452328, 0.9463011, 0.7589085, 0.94065225, 0.9349411, 0.9431112, 0.94184226, 0.75254345, 0.9390901, 0.9315206]"
8,/home/pi/sambashare/BacArbeit/images/airplane.jpg,10.655257243000051,"['motorcycle', 'motorcycle', 'motorcycle', 'motorcycle', 'motorcycle']","[4, 4, 4, 4, 4]","[0.77660996, 0.55898696, 0.8637053, 0.508939, 0.62573284]"
9,/home/pi/sambashare/BacArbeit/images/dog_2.jpg,11.05201295300003,"['train', 'train', 'train', 'train', 'train', 'train', 'bird', 'bird', 'train', 'train', 'train', 'person', 'person', 'person', 'bird', 'bird', 'bird', 'train', 'train', 'train', 'person', 'person', 'person', 'bird', 'bird', 'bird', 'train', 'train', 'train', 'person', 'person', 'person', 'bird', 'bird', 'bird']","[7, 7, 7, 7, 7, 7, 16, 16, 7, 7, 7, 1, 1, 1, 16, 16, 16, 7, 7, 7, 1, 1, 1, 16, 16, 16, 7, 7, 7, 1, 1, 1, 16, 16, 16]","[0.9159812, 0.9278269, 0.5215855, 0.91193587, 0.9232929, 0.5046791, 0.67941743, 0.55586857, 0.5913829, 0.93456197, 0.93566144, 0.9504251, 0.9485703, 0.5950884, 0.7493268, 0.84737015, 0.8473562, 0.5988503, 0.93212366, 0.9338294, 0.95356286, 0.9514402, 0.6022004, 0.889601, 0.93731624, 0.91915023, 0.59975064, 0.9254926, 0.9311435, 0.94972956, 0.9475374, 0.6016576, 0.8838899, 0.9323071, 0.9125254]"
10,/home/pi/sambashare/BacArbeit/images/cat.jpg,10.948190079000142,"['bench', 'bench', 'bench', 'bench']","[15, 15, 15, 15]","[0.66632175, 0.7168336, 0.66479707, 0.71222746]"
11,/home/pi/sambashare/BacArbeit/images/zidane.jpg,10.601434111999879,"['backpack', 'backpack', 'backpack', 'backpack', 'backpack', '???', '???', '???', '???', '???', 'backpack', 'backpack', 'backpack', '???', '???', '???', '???', '???']","[27, 27, 27, 27, 27, 0, 0, 0, 0, 0, 27, 27, 27, 0, 0, 0, 0, 0]","[0.5241642, 0.5416177, 0.7679093, 0.80929697, 0.73745096, 0.8897736, 0.568531, 0.5762664, 0.903386, 0.82894206, 0.761228, 0.8085047, 0.7361556, 0.88585174, 0.571061, 0.5777238, 0.8942226, 0.8225506]"
12,/home/pi/sambashare/BacArbeit/images/image_2_thumb.jpg,12.084977095999875,[],[],[]
13,/home/pi/sambashare/BacArbeit/images/cake.jpg,11.127615031000005,"['orange', 'orange', 'orange', 'orange']","[55, 55, 55, 55]","[0.75518894, 0.67917484, 0.77050334, 0.6949303]"
14,/home/pi/sambashare/BacArbeit/images/test.jpg,11.121059296000112,"['???', '???', '???', '???', '???', '???', '???', '???', '???', '???', '???', '???', '???', '???', '???', 'cat', 'cat', '???', '???', '???']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 0, 0, 0]","[0.624575, 0.8922205, 0.84204733, 0.7868898, 0.6055535, 0.6695974, 0.5333182, 0.7006076, 0.8829885, 0.818922, 0.78475463, 0.5870128, 0.66944885, 0.53250456, 0.6822006, 0.6474207, 0.6773062, 0.8688108, 0.784991, 0.7705114]"
