,image,inference time,label,index,value,boxes
0,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000182611.jpg,0.4484142909932416,"['45: bowl', '0: person', '45: bowl', '45: bowl', '41: cup', '69: oven', '45: bowl', '45: bowl', '0: person', '55: cake', '45: bowl', '39: bottle', '45: bowl', '45: bowl', '39: bottle']","[45, 0, 45, 45, 41, 69, 45, 45, 0, 55, 45, 39, 45, 45, 39]","[0.8809678, 0.84519374, 0.8343184, 0.58227426, 0.5670045, 0.5395128, 0.5321613, 0.4683572, 0.4443204, 0.42105728, 0.39682215, 0.36048526, 0.29973638, 0.2923327, 0.25426298]","[[322.05, 556.21, 93.4, 83.64], [42.06, 31.1, 308.89, 402.28], [378.56, 407.46, 101.23, 116.92], [370.48, 358.57, 102.73, 60.07], [213.62, 615.84, 64.08, 24.08], [0.27, 211.08, 52.35, 250.99], [257.95, 367.03, 100.51, 90.81], [189.09, 493.47, 151.98, 125.32], [313.7, 32.12, 164.72, 608.32], [204.19, 372.07, 58.66, 64.49], [0.94, 548.29, 83.85, 90.29], [300.66, 457.29, 175.17, 156.52], [63.48, 607.88, 138.45, 32.19], [148.71, 593.68, 77.5, 46.29], [255.28, 251.26, 10.62, 34.35]]"
1,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000335177.jpg,0.3822629169735592,"['7: truck', '11: stop sign', '2: car']","[7, 11, 2]","[0.9178387, 0.88861644, 0.88363045]","[[187.14, 302.63, 122.46, 39.3], [339.09, 239.83, 33.57, 34.73], [552.88, 296.07, 60.43, 21.08]]"
2,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000278705.jpg,0.3840062920062337,"['0: person', '36: skateboard', '36: skateboard', '2: car', '0: person', '2: car']","[0, 36, 36, 2, 0, 2]","[0.95386034, 0.9115912, 0.881845, 0.854215, 0.8085277, 0.5940594]","[[360.14, 118.36, 152.21, 217.19], [338.18, 309.05, 100.23, 29.26], [100.64, 278.05, 91.61, 25.08], [5.25, 130.73, 312.31, 144.67], [86.33, 114.13, 111.46, 175.07], [374.25, 143.67, 190.37, 126.35]]"
3,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000463618.jpg,0.37741258399910294,"['0: person', '62: tv', '0: person', '57: couch', '41: cup', '14: bird']","[0, 62, 0, 57, 41, 14]","[0.89779884, 0.84422696, 0.79307127, 0.7442848, 0.38325515, 0.31112546]","[[289.21, 10.9, 232.42, 436.72], [77.52, 1.11, 260.2, 124.7], [236.91, 140.93, 170.41, 298.18], [471.7, 0.55, 167.22, 298.03], [206.23, 334.87, 35.83, 31.41], [107.17, 191.04, 84.45, 80.96]]"
4,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000568981.jpg,0.3783193329873029,"['0: person', '0: person', '36: skateboard', '36: skateboard']","[0, 0, 36, 36]","[0.93214524, 0.8012476, 0.78569996, 0.77550256]","[[568.32, 4.9, 70.85, 226.37], [18.6, 215.87, 174.23, 159.84], [582.55, 219.97, 57.04, 24.61], [30.25, 6.82, 347.71, 398.78]]"
5,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000092416.jpg,0.3786687910032924,"['0: person', '0: person', '39: bottle', '27: tie', '0: person', '0: person', '8: boat', '8: boat']","[0, 0, 39, 27, 0, 0, 8, 8]","[0.93137854, 0.86499435, 0.82978237, 0.81275225, 0.7461329, 0.7401507, 0.5932384, 0.41119665]","[[66.46, 46.62, 288.19, 590.74], [425.5, 305.24, 54.23, 333.37], [281.17, 389.16, 59.22, 209.68], [239.65, 270.85, 56.53, 192.62], [15.59, 218.48, 32.55, 59.79], [0.28, 227.56, 30.66, 58.76], [27.02, 154.41, 156.85, 103.58], [-0.06, 259.79, 13.52, 20.75]]"
6,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000173830.jpg,0.3818457080051303,"['0: person', '31: snowboard']","[0, 31]","[0.8985989, 0.66835076]","[[191.19, 184.44, 246.02, 388.89], [119.98, 551.84, 386.85, 35.52]]"
7,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000476215.jpg,0.38220820800052024,"['0: person', '17: horse', '17: horse']","[0, 17, 17]","[0.8778217, 0.71624553, 0.46263808]","[[277.45, 95.32, 37.44, 103.67], [15.73, 67.39, 251.12, 151.79], [10.77, 65.85, 100.38, 155.47]]"
8,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000479126.jpg,0.3813354169833474,"['0: person', '63: laptop', '0: person', '56: chair', '40: wine glass', '56: chair', '56: chair', '40: wine glass', '56: chair']","[0, 63, 0, 56, 40, 56, 56, 40, 56]","[0.92576814, 0.9236461, 0.9001793, 0.82039213, 0.71817154, 0.6754725, 0.55877084, 0.49282584, 0.39909452]","[[335.95, 158.0, 239.05, 268.76], [260.99, 300.01, 163.37, 124.32], [108.08, 144.45, 108.77, 275.37], [506.81, 262.49, 132.95, 164.03], [148.06, 258.94, 16.8, 30.46], [493.56, 221.19, 91.11, 82.5], [51.12, 202.6, 98.13, 109.05], [145.63, 242.68, 21.4, 65.6], [334.88, 222.96, 92.64, 130.4]]"
9,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000570664.jpg,0.381196208007168,"['15: cat', '0: person', '15: cat', '67: cell phone']","[15, 0, 15, 67]","[0.9015234, 0.84531987, 0.40985256, 0.26233304]","[[284.92, 114.02, 169.67, 218.65], [0.82, 24.65, 112.95, 307.82], [175.58, 2.76, 201.63, 175.83], [101.33, 144.94, 40.54, 25.68]]"
