,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/cocoval2017/000000571718.jpg,13.72783749899827,"['0: person', '0: person', '46: banana', '56: chair', '46: banana', '56: chair', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana', '56: chair', '0: person', '46: banana']","[0, 0, 46, 56, 46, 56, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 56, 0, 46]","[0.8882214, 0.79796225, 0.75580436, 0.61775506, 0.5598618, 0.5326946, 0.51343054, 0.4789619, 0.42673144, 0.39649504, 0.39491975, 0.39414862, 0.37595066, 0.36523739, 0.3621474, 0.3209514, 0.3024961, 0.29417038, 0.28977448]","[[427.13, 7.74, 194.15, 416.05], [220.86, 10.2, 89.48, 71.4], [224.82, 159.24, 77.27, 75.44], [1.0, 45.0, 36.18, 143.98], [107.94, 199.64, 83.61, 83.75], [33.69, 53.32, 60.19, 142.33], [287.36, 217.47, 59.97, 63.47], [6.24, 239.45, 65.49, 48.53], [265.78, 148.77, 86.52, 44.72], [240.37, 226.91, 86.42, 68.72], [308.78, 200.72, 52.97, 65.94], [204.55, 236.95, 64.03, 62.53], [166.88, 202.21, 57.04, 72.18], [66.8, 253.88, 78.46, 46.88], [336.5, 232.32, 66.65, 73.67], [14.58, 207.79, 90.03, 42.59], [296.42, 42.77, 38.64, 34.05], [238.02, 237.48, 13.12, 12.58], [196.7, 178.21, 48.86, 64.35]]"
1,/home/pi/sambashare/BacArbeit/cocoval2017/000000529568.jpg,9.933893010995234,"['45: bowl', '75: vase', '60: dining table', '71: sink', '69: oven', '73: book', '56: chair', '41: cup', '73: book', '41: cup', '45: bowl', '75: vase', '58: potted plant', '62: tv', '73: book', '73: book', '41: cup', '73: book', '41: cup', '45: bowl', '73: book']","[45, 75, 60, 71, 69, 73, 56, 41, 73, 41, 45, 75, 58, 62, 73, 73, 41, 73, 41, 45, 73]","[0.82813674, 0.7775786, 0.7435648, 0.6307509, 0.52833474, 0.45513394, 0.451248, 0.42394704, 0.42138353, 0.40957937, 0.40375623, 0.3898134, 0.3889795, 0.37838286, 0.37101784, 0.37062553, 0.36484486, 0.33053693, 0.285363, 0.27674186, 0.2532085]","[[68.04, 459.41, 28.67, 27.24], [0.75, 426.66, 20.45, 75.35], [0.78, 427.02, 225.84, 210.92], [288.07, 385.11, 165.73, 96.84], [133.24, 369.11, 150.92, 161.57], [394.57, 248.34, 9.38, 45.11], [160.24, 579.43, 151.27, 60.57], [97.61, 287.81, 14.68, 19.82], [361.59, 242.63, 11.78, 50.79], [84.91, 288.04, 13.03, 18.84], [42.11, 294.71, 19.61, 10.99], [11.63, 417.82, 41.49, 46.43], [0.75, 353.32, 66.37, 145.66], [287.06, 318.1, 80.57, 69.14], [353.8, 246.33, 9.38, 46.85], [373.85, 246.67, 12.87, 46.66], [68.1, 286.26, 15.2, 19.71], [385.91, 248.03, 9.9, 45.0], [110.49, 289.81, 11.82, 17.77], [46.2, 286.86, 14.79, 9.23], [398.31, 248.59, 10.12, 44.4]]"
2,/home/pi/sambashare/BacArbeit/cocoval2017/000000468577.jpg,9.917383631996927,"['0: person', '59: bed']","[0, 59]","[0.87093955, 0.45705104]","[[88.15, 266.12, 376.12, 184.38], [7.27, 94.61, 604.73, 386.33]]"
3,/home/pi/sambashare/BacArbeit/cocoval2017/000000151516.jpg,9.910344607997104,['14: bird'],[14],[0.8694238],"[[203.21, 229.54, 274.9, 86.32]]"
4,/home/pi/sambashare/BacArbeit/cocoval2017/000000350122.jpg,9.934198094008025,"['0: person', '0: person', '0: person', '0: person', '0: person', '24: backpack', '0: person', '24: backpack', '0: person', '6: train', '0: person', '24: backpack', '26: handbag', '0: person', '0: person', '0: person', '0: person', '24: backpack', '0: person', '24: backpack', '0: person', '0: person', '0: person', '0: person', '0: person', '6: train', '0: person', '0: person']","[0, 0, 0, 0, 0, 24, 0, 24, 0, 6, 0, 24, 26, 0, 0, 0, 0, 24, 0, 24, 0, 0, 0, 0, 0, 6, 0, 0]","[0.8960194, 0.8722426, 0.83054006, 0.81452227, 0.8025278, 0.7707677, 0.7402651, 0.7336476, 0.7182942, 0.69314474, 0.649204, 0.6144222, 0.6142594, 0.5961519, 0.59146446, 0.5308908, 0.4967889, 0.48465326, 0.48307994, 0.46025705, 0.42525625, 0.41630304, 0.37365228, 0.36083344, 0.3546901, 0.34098926, 0.31352958, 0.2509234]","[[367.44, 309.07, 77.56, 164.11], [29.35, 199.84, 72.75, 198.92], [89.35, 206.66, 52.87, 172.55], [498.64, 254.98, 19.96, 56.78], [204.6, 217.8, 50.47, 151.82], [88.01, 229.62, 35.2, 47.2], [145.39, 238.0, 48.81, 128.94], [324.75, 250.58, 20.2, 32.12], [535.32, 249.59, 20.35, 54.7], [1.0, 141.11, 195.83, 136.96], [446.63, 250.26, 18.55, 60.29], [142.86, 257.29, 29.73, 58.84], [616.02, 272.34, 21.26, 21.94], [368.32, 233.89, 28.64, 43.84], [395.45, 244.02, 17.47, 30.75], [473.44, 267.78, 13.89, 36.88], [524.13, 273.23, 15.26, 31.07], [242.87, 230.84, 33.26, 46.63], [273.4, 232.01, 34.81, 44.61], [342.69, 247.96, 25.73, 32.32], [302.59, 232.75, 42.79, 109.0], [485.6, 263.66, 15.21, 40.07], [96.14, 225.36, 97.72, 146.3], [611.03, 246.01, 17.53, 32.69], [409.2, 248.97, 19.6, 26.13], [229.49, 182.27, 140.62, 85.6], [519.14, 255.46, 16.55, 31.36], [348.87, 234.18, 25.33, 41.5]]"
5,/home/pi/sambashare/BacArbeit/cocoval2017/000000104803.jpg,9.974194366994197,"['61: toilet', '41: cup']","[61, 41]","[0.87024873, 0.31236678]","[[69.49, 60.87, 191.38, 405.49], [303.84, 294.4, 56.72, 97.23]]"
6,/home/pi/sambashare/BacArbeit/cocoval2017/000000288762.jpg,9.916418270004215,"['51: carrot', '42: fork', '51: carrot', '45: bowl', '51: carrot', '51: carrot', '51: carrot']","[51, 42, 51, 45, 51, 51, 51]","[0.8208413, 0.7586851, 0.5520546, 0.46295556, 0.45136014, 0.4402825, 0.35617802]","[[232.8, 124.25, 99.01, 95.7], [236.75, 15.11, 397.63, 159.31], [214.4, 245.43, 126.41, 43.29], [1.0, 0.66, 626.67, 424.34], [290.99, 110.43, 104.94, 72.86], [408.19, 158.47, 39.63, 62.37], [356.25, 301.2, 70.58, 24.31]]"
7,/home/pi/sambashare/BacArbeit/cocoval2017/000000150638.jpg,9.915229365011328,"['41: cup', '41: cup', '39: bottle', '39: bottle', '39: bottle', '0: person', '0: person', '0: person', '41: cup', '41: cup', '39: bottle', '56: chair', '39: bottle', '0: person', '13: bench']","[41, 41, 39, 39, 39, 0, 0, 0, 41, 41, 39, 56, 39, 0, 13]","[0.91249824, 0.906953, 0.88952, 0.87841016, 0.81676435, 0.79651, 0.7945785, 0.7933172, 0.7928459, 0.75068474, 0.618786, 0.57188797, 0.4336346, 0.33674458, 0.26049203]","[[358.36, 247.53, 52.17, 71.88], [514.0, 196.32, 40.54, 56.04], [550.28, 105.76, 46.33, 119.67], [382.94, 112.05, 54.62, 130.95], [466.21, 101.06, 34.04, 52.87], [495.65, 0.73, 82.02, 70.02], [145.22, 12.34, 51.1, 79.94], [186.45, 0.73, 140.15, 89.9], [511.46, 171.82, 37.88, 28.03], [366.55, 140.19, 26.87, 41.07], [440.69, 100.57, 27.51, 53.72], [143.66, 54.8, 52.14, 63.59], [148.24, 172.45, 30.21, 67.21], [168.88, 13.13, 30.06, 50.12], [500.29, 395.82, 138.86, 72.46]]"
8,/home/pi/sambashare/BacArbeit/cocoval2017/000000496722.jpg,10.484647170000244,"['2: car', '2: car', '2: car', '2: car', '2: car']","[2, 2, 2, 2, 2]","[0.7134502, 0.70448875, 0.5654073, 0.48753798, 0.3132205]","[[285.15, 151.51, 15.28, 10.85], [313.35, 150.48, 13.77, 10.71], [339.52, 147.76, 21.3, 10.92], [298.75, 152.17, 15.18, 6.67], [274.55, 152.16, 16.21, 8.22]]"
9,/home/pi/sambashare/BacArbeit/cocoval2017/000000167898.jpg,10.227291068003979,"['61: toilet', '71: sink', '39: bottle']","[61, 71, 39]","[0.9055647, 0.81356764, 0.4998116]","[[373.55, 272.15, 245.48, 207.21], [248.9, 178.14, 219.12, 98.93], [435.26, 78.18, 27.91, 77.69]]"
