,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/randomized_iamges/0.jpg,11.631638236000072,[],[],[],[]
1,/home/pi/sambashare/BacArbeit/randomized_iamges/1.jpg,11.290387874000317,[],[],[],[]
2,/home/pi/sambashare/BacArbeit/randomized_iamges/2.jpg,11.426655031000337,[],[],[],[]
3,/home/pi/sambashare/BacArbeit/randomized_iamges/3.jpg,11.462448963000043,[],[],[],[]
4,/home/pi/sambashare/BacArbeit/randomized_iamges/4.jpg,11.434998163999808,[],[],[],[]
5,/home/pi/sambashare/BacArbeit/randomized_iamges/5.jpg,11.362513434999983,[],[],[],[]
6,/home/pi/sambashare/BacArbeit/randomized_iamges/6.jpg,11.509207149000304,[],[],[],[]
7,/home/pi/sambashare/BacArbeit/randomized_iamges/7.jpg,11.472177469000144,[],[],[],[]
8,/home/pi/sambashare/BacArbeit/randomized_iamges/8.jpg,11.47155816600025,[],[],[],[]
9,/home/pi/sambashare/BacArbeit/randomized_iamges/9.jpg,11.46932785700028,[],[],[],[]
10,/home/pi/sambashare/BacArbeit/randomized_iamges/10.jpg,11.458282313999916,[],[],[],[]
11,/home/pi/sambashare/BacArbeit/randomized_iamges/11.jpg,11.497082076000424,[],[],[],[]
12,/home/pi/sambashare/BacArbeit/randomized_iamges/12.jpg,11.519816326000182,[],[],[],[]
13,/home/pi/sambashare/BacArbeit/randomized_iamges/13.jpg,11.467273103000025,[],[],[],[]
14,/home/pi/sambashare/BacArbeit/randomized_iamges/14.jpg,11.567143371999919,[],[],[],[]
15,/home/pi/sambashare/BacArbeit/randomized_iamges/15.jpg,11.456645704000039,[],[],[],[]
16,/home/pi/sambashare/BacArbeit/randomized_iamges/16.jpg,11.503609684999901,[],[],[],[]
17,/home/pi/sambashare/BacArbeit/randomized_iamges/17.jpg,11.47116947099994,[],[],[],[]
18,/home/pi/sambashare/BacArbeit/randomized_iamges/18.jpg,11.325688991999868,[],[],[],[]
19,/home/pi/sambashare/BacArbeit/randomized_iamges/19.jpg,11.506695315999877,[],[],[],[]
20,/home/pi/sambashare/BacArbeit/randomized_iamges/20.jpg,11.479667963999873,[],[],[],[]
21,/home/pi/sambashare/BacArbeit/randomized_iamges/21.jpg,11.472603230999994,[],[],[],[]
22,/home/pi/sambashare/BacArbeit/randomized_iamges/22.jpg,11.335503596999843,[],[],[],[]
23,/home/pi/sambashare/BacArbeit/randomized_iamges/23.jpg,11.482282726999983,[],[],[],[]
24,/home/pi/sambashare/BacArbeit/randomized_iamges/24.jpg,11.46389889000011,[],[],[],[]
25,/home/pi/sambashare/BacArbeit/randomized_iamges/25.jpg,11.452037337000093,[],[],[],[]
26,/home/pi/sambashare/BacArbeit/randomized_iamges/26.jpg,11.536515858999792,[],[],[],[]
27,/home/pi/sambashare/BacArbeit/randomized_iamges/27.jpg,11.39048932500009,[],[],[],[]
28,/home/pi/sambashare/BacArbeit/randomized_iamges/28.jpg,11.296325548000368,[],[],[],[]
29,/home/pi/sambashare/BacArbeit/randomized_iamges/29.jpg,11.464670947000286,[],[],[],[]
30,/home/pi/sambashare/BacArbeit/randomized_iamges/30.jpg,11.540636637000262,[],[],[],[]
31,/home/pi/sambashare/BacArbeit/randomized_iamges/31.jpg,11.448091021999971,[],[],[],[]
32,/home/pi/sambashare/BacArbeit/randomized_iamges/32.jpg,11.477166577999924,[],[],[],[]
33,/home/pi/sambashare/BacArbeit/randomized_iamges/33.jpg,11.454945435000354,[],[],[],[]
34,/home/pi/sambashare/BacArbeit/randomized_iamges/34.jpg,11.46852922800008,[],[],[],[]
35,/home/pi/sambashare/BacArbeit/randomized_iamges/35.jpg,11.283537530000103,[],[],[],[]
36,/home/pi/sambashare/BacArbeit/randomized_iamges/36.jpg,11.474622114999875,[],[],[],[]
