,image,inference time,label,index,value,boxes
0,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000182611.jpg,0.4376087909913622,"['45: bowl', '0: person', '45: bowl', '45: bowl', '44: spoon', '69: oven', '45: bowl', '0: person', '45: bowl', '0: person', '60: dining table', '45: bowl', '39: bottle', '45: bowl', '45: bowl', '39: bottle', '45: bowl', '55: cake', '45: bowl', '55: cake', '45: bowl']","[45, 0, 45, 45, 44, 69, 45, 0, 45, 0, 60, 45, 39, 45, 45, 39, 45, 55, 45, 55, 45]","[0.83599144, 0.79381824, 0.6827792, 0.67777884, 0.64721686, 0.61336535, 0.59561837, 0.594035, 0.5026534, 0.44961724, 0.42372584, 0.4195582, 0.40029675, 0.39382705, 0.3424647, 0.33476996, 0.32920706, 0.31257254, 0.28663105, 0.2797643, 0.25507656]","[[322.0, 556.53, 93.97, 83.47], [42.43, 0.39, 318.48, 436.19], [189.39, 493.7, 150.7, 125.47], [212.71, 615.65, 65.22, 24.3], [266.54, 545.06, 58.44, 60.24], [0.34, 213.3, 50.6, 250.11], [379.11, 407.77, 100.76, 111.91], [287.53, 449.58, 191.44, 170.98], [370.7, 358.47, 102.54, 60.54], [309.74, 51.28, 168.19, 581.15], [0.0, 302.53, 471.45, 336.18], [164.97, 592.46, 61.12, 46.35], [234.92, 248.63, 20.79, 44.78], [1.05, 464.35, 94.9, 75.95], [390.56, 493.68, 63.28, 30.22], [254.89, 251.7, 12.19, 34.69], [78.15, 550.74, 56.68, 61.99], [0.0, 460.59, 29.19, 61.38], [5.67, 550.17, 78.97, 88.87], [0.0, 556.48, 19.65, 73.44], [258.1, 367.15, 92.21, 88.85]]"
1,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000335177.jpg,0.46524979200330563,"['11: stop sign', '7: truck', '2: car']","[11, 7, 2]","[0.87181664, 0.8563043, 0.763749]","[[338.9, 238.57, 33.62, 35.79], [186.42, 302.01, 122.66, 39.18], [553.06, 295.11, 61.49, 20.79]]"
2,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000278705.jpg,0.4277903329930268,"['0: person', '36: skateboard', '36: skateboard', '0: person', '2: car', '2: car']","[0, 36, 36, 0, 2, 2]","[0.93336046, 0.8982405, 0.8545335, 0.8405505, 0.60461986, 0.5734536]","[[359.89, 117.88, 152.45, 217.23], [338.21, 309.17, 100.43, 29.04], [101.01, 278.62, 88.46, 24.18], [91.61, 116.58, 103.72, 173.18], [6.45, 130.03, 308.15, 147.63], [434.64, 142.89, 127.86, 127.46]]"
3,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000463618.jpg,0.43822400001226924,"['62: tv', '0: person', '57: couch', '0: person', '14: bird', '64: mouse', '45: bowl']","[62, 0, 57, 0, 14, 64, 45]","[0.86934245, 0.86509514, 0.7516345, 0.64004636, 0.41033676, 0.26486337, 0.2551931]","[[75.99, 0.34, 262.32, 127.49], [242.26, 6.45, 279.98, 439.42], [469.86, 0.3, 169.29, 302.38], [234.28, 139.25, 173.5, 305.62], [106.48, 186.27, 85.92, 86.94], [130.09, 145.92, 56.47, 25.84], [206.11, 333.62, 35.34, 31.81]]"
4,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000568981.jpg,0.43586737499572337,"['0: person', '0: person', '36: skateboard', '13: bench', '0: person']","[0, 0, 36, 13, 0]","[0.9392742, 0.93873733, 0.79819053, 0.3436713, 0.33664134]","[[567.56, 7.42, 71.81, 224.82], [17.39, 155.77, 233.76, 221.03], [582.87, 220.96, 56.66, 23.86], [24.14, 5.15, 382.81, 414.93], [634.88, 0.0, 5.1, 21.07]]"
5,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000092416.jpg,0.46600545902037993,"['0: person', '0: person', '27: tie', '0: person', '0: person', '39: bottle', '8: boat', '27: tie']","[0, 0, 27, 0, 0, 39, 8, 27]","[0.93812746, 0.8320516, 0.82114094, 0.7931955, 0.7541539, 0.73270696, 0.72176415, 0.2691994]","[[68.0, 50.98, 286.81, 587.24], [423.76, 305.91, 55.99, 332.23], [239.51, 270.43, 57.18, 193.75], [14.62, 218.1, 34.75, 60.11], [0.17, 228.43, 28.79, 58.32], [279.46, 388.67, 59.83, 204.66], [31.86, 153.46, 157.03, 101.48], [279.32, 546.69, 44.17, 54.87]]"
6,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000173830.jpg,0.5439069579879288,"['0: person', '30: skis']","[0, 30]","[0.83245295, 0.4934752]","[[181.9, 183.4, 254.97, 396.08], [121.78, 555.69, 384.42, 31.43]]"
7,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000476215.jpg,0.4073842079960741,"['0: person', '17: horse', '17: horse']","[0, 17, 17]","[0.9056794, 0.84482986, 0.7905089]","[[278.91, 94.22, 36.02, 103.78], [67.3, 79.94, 168.83, 140.35], [10.62, 64.64, 103.26, 157.65]]"
8,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000479126.jpg,0.4551652079971973,"['63: laptop', '0: person', '0: person', '40: wine glass', '56: chair', '56: chair', '56: chair', '56: chair']","[63, 0, 0, 40, 56, 56, 56, 56]","[0.93033993, 0.8730374, 0.8295833, 0.8138978, 0.80425614, 0.71214634, 0.664636, 0.6166427]","[[260.62, 299.43, 164.66, 124.34], [107.74, 145.34, 107.75, 273.33], [319.51, 158.2, 254.59, 268.39], [148.41, 258.55, 14.91, 30.04], [507.72, 261.75, 131.59, 161.6], [492.09, 219.67, 92.9, 84.36], [335.7, 224.9, 94.4, 113.39], [53.86, 201.62, 109.78, 118.73]]"
9,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000570664.jpg,0.4568434579996392,"['15: cat', '0: person', '15: cat', '15: cat']","[15, 0, 15, 15]","[0.89951324, 0.82028747, 0.4879115, 0.27976602]","[[285.75, 113.04, 204.02, 216.58], [0.78, 25.21, 110.93, 301.07], [174.71, 12.63, 194.52, 160.03], [176.78, 11.38, 315.38, 303.98]]"
10,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000304396.jpg,0.6040899169747718,"['74: clock', '74: clock']","[74, 74]","[0.8265147, 0.8117279]","[[105.16, 159.57, 33.01, 70.87], [211.32, 136.86, 67.89, 69.94]]"
11,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000231339.jpg,0.4430845839960966,"['0: person', '72: refrigerator', '39: bottle', '45: bowl', '39: bottle']","[0, 72, 39, 45, 39]","[0.93434495, 0.8181897, 0.7044064, 0.40135, 0.33271158]","[[194.12, 198.68, 238.53, 305.05], [124.2, 0.0, 355.8, 463.9], [167.8, 168.2, 27.22, 39.9], [250.2, 148.51, 77.93, 36.1], [331.58, 31.28, 38.75, 75.55]]"
12,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000153510.jpg,0.43173283399664797,"['50: broccoli', '50: broccoli', '51: carrot', '50: broccoli', '51: carrot', '50: broccoli', '50: broccoli']","[50, 50, 51, 50, 51, 50, 50]","[0.6292468, 0.5743342, 0.54539394, 0.27189127, 0.26909387, 0.2634862, 0.25904763]","[[378.54, 0.15, 100.27, 58.31], [455.06, 89.41, 85.06, 111.55], [83.45, 106.74, 82.1, 83.83], [618.5, 166.37, 21.49, 54.06], [268.28, 302.46, 73.27, 33.43], [238.34, 162.58, 87.28, 84.62], [64.89, 60.22, 56.69, 54.89]]"
13,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000011051.jpg,0.5103725420194678,"['0: person', '0: person', '27: tie', '55: cake']","[0, 0, 27, 55]","[0.9598657, 0.9023983, 0.87178475, 0.3883025]","[[250.39, 75.23, 378.64, 453.03], [5.23, 10.2, 387.97, 513.53], [195.63, 199.95, 59.1, 210.85], [256.5, 207.5, 42.91, 38.03]]"
14,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000237984.jpg,0.40176279199658893,"['13: bench', '56: chair']","[13, 56]","[0.8213805, 0.7888436]","[[30.56, 140.93, 596.21, 265.27], [116.81, 97.78, 127.82, 131.08]]"
15,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000124798.jpg,0.4567121670115739,"['5: bus', '2: car', '2: car', '2: car', '2: car', '2: car', '2: car', '9: traffic light', '2: car', '2: car', '0: person', '2: car', '25: umbrella', '25: umbrella', '25: umbrella', '25: umbrella', '25: umbrella', '1: bicycle']","[5, 2, 2, 2, 2, 2, 2, 9, 2, 2, 0, 2, 25, 25, 25, 25, 25, 1]","[0.93109536, 0.8937884, 0.88606477, 0.8822881, 0.8472264, 0.83563626, 0.7995402, 0.6954144, 0.6570156, 0.64541835, 0.59875214, 0.5898492, 0.5646505, 0.5299512, 0.466678, 0.3736237, 0.28824204, 0.2739589]","[[169.8, 237.65, 237.76, 126.38], [577.68, 309.71, 61.91, 114.48], [40.76, 298.75, 95.98, 72.09], [494.93, 311.94, 41.08, 28.5], [546.15, 312.07, 42.28, 33.02], [0.0, 293.09, 54.65, 81.52], [471.17, 313.99, 25.66, 21.66], [526.22, 134.19, 16.93, 31.2], [531.19, 313.07, 15.81, 19.15], [589.51, 315.15, 20.27, 19.77], [243.9, 267.17, 24.57, 26.51], [408.19, 299.61, 69.23, 55.89], [103.38, 276.66, 39.0, 13.65], [0.47, 270.36, 80.68, 19.33], [72.31, 273.3, 44.22, 23.75], [128.0, 278.41, 41.34, 13.47], [47.54, 271.52, 33.29, 17.26], [134.23, 313.0, 19.06, 35.63]]"
16,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000441491.jpg,0.4578966659901198,"['41: cup', '0: person', '0: person', '53: pizza', '0: person']","[41, 0, 0, 53, 0]","[0.78243345, 0.6197629, 0.60065705, 0.58386433, 0.39876723]","[[342.63, 400.32, 84.9, 79.51], [3.46, 0.0, 402.18, 479.88], [408.59, 69.43, 228.62, 408.89], [251.53, 263.12, 207.0, 85.56], [319.4, 28.13, 226.5, 451.87]]"
17,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000361268.jpg,0.5234164999856148,['19: cow'],[19],[0.9444465],"[[324.92, 226.44, 209.96, 127.64]]"
18,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000272566.jpg,0.5929583339893725,"['0: person', '0: person', '47: apple', '46: banana', '0: person', '46: banana', '46: banana', '46: banana', '46: banana', '46: banana']","[0, 0, 47, 46, 0, 46, 46, 46, 46, 46]","[0.94436806, 0.7818636, 0.7656116, 0.74027, 0.54184437, 0.41654068, 0.3527089, 0.33530426, 0.3203079, 0.27460518]","[[206.77, 89.48, 176.26, 215.98], [337.27, 123.75, 70.8, 140.67], [77.22, 309.48, 218.54, 99.72], [395.85, 252.56, 70.35, 57.49], [492.32, 129.26, 140.02, 178.31], [328.37, 337.92, 53.65, 42.46], [303.7, 332.64, 85.58, 60.13], [450.78, 310.67, 33.29, 35.15], [388.32, 300.57, 32.74, 50.28], [425.26, 306.03, 28.0, 34.89]]"
19,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000160864.jpg,0.4777999999932945,"['0: person', '0: person', '0: person', '0: person', '0: person', '35: baseball glove', '0: person', '34: baseball bat', '34: baseball bat', '34: baseball bat', '56: chair', '35: baseball glove', '35: baseball glove', '13: bench', '35: baseball glove', '34: baseball bat']","[0, 0, 0, 0, 0, 35, 0, 34, 34, 34, 56, 35, 35, 13, 35, 34]","[0.95841193, 0.93978167, 0.93060887, 0.91046906, 0.89974153, 0.86840934, 0.85468405, 0.82840276, 0.77223366, 0.7634397, 0.6739777, 0.58234286, 0.27194926, 0.26124695, 0.2571097, 0.25547394]","[[286.51, 57.42, 236.49, 298.66], [132.17, 85.96, 122.88, 209.12], [3.96, 168.59, 189.72, 203.54], [180.91, 0.0, 91.2, 85.66], [544.78, 45.58, 65.09, 214.96], [150.94, 226.06, 43.91, 34.65], [439.13, 63.97, 143.72, 231.06], [309.59, 22.96, 61.61, 84.3], [147.07, 42.78, 67.09, 47.2], [452.72, 18.49, 34.89, 73.1], [282.08, 169.13, 59.61, 102.44], [589.91, 154.06, 20.58, 33.58], [440.98, 85.17, 21.05, 30.02], [584.0, 182.47, 55.82, 59.65], [130.6, 88.57, 24.04, 22.34], [574.85, 178.45, 13.9, 85.0]]"
