,image,inference time,label,index,value,boxes
0,/home/pi/sambashare/BacArbeit/randomized_iamges/0.jpg,10.891958074003924,[],[],[],[]
1,/home/pi/sambashare/BacArbeit/randomized_iamges/1.jpg,8.424626024992904,[],[],[],[]
2,/home/pi/sambashare/BacArbeit/randomized_iamges/2.jpg,8.424925415005418,[],[],[],[]
3,/home/pi/sambashare/BacArbeit/randomized_iamges/3.jpg,8.427815386996372,[],[],[],[]
4,/home/pi/sambashare/BacArbeit/randomized_iamges/4.jpg,8.426276596001117,[],[],[],[]
5,/home/pi/sambashare/BacArbeit/randomized_iamges/5.jpg,8.428065355008584,[],[],[],[]
6,/home/pi/sambashare/BacArbeit/randomized_iamges/6.jpg,8.430822555994382,[],[],[],[]
7,/home/pi/sambashare/BacArbeit/randomized_iamges/7.jpg,8.422271710995119,[],[],[],[]
8,/home/pi/sambashare/BacArbeit/randomized_iamges/8.jpg,8.457212014996912,[],[],[],[]
9,/home/pi/sambashare/BacArbeit/randomized_iamges/9.jpg,8.41948934699758,[],[],[],[]
10,/home/pi/sambashare/BacArbeit/randomized_iamges/10.jpg,8.415937824000139,[],[],[],[]
11,/home/pi/sambashare/BacArbeit/randomized_iamges/11.jpg,8.41749010400963,[],[],[],[]
12,/home/pi/sambashare/BacArbeit/randomized_iamges/12.jpg,8.419894104998093,[],[],[],[]
13,/home/pi/sambashare/BacArbeit/randomized_iamges/13.jpg,8.42706936999457,[],[],[],[]
14,/home/pi/sambashare/BacArbeit/randomized_iamges/14.jpg,8.427581642012228,[],[],[],[]
15,/home/pi/sambashare/BacArbeit/randomized_iamges/15.jpg,8.428763372008689,[],[],[],[]
16,/home/pi/sambashare/BacArbeit/randomized_iamges/16.jpg,8.45111535298929,[],[],[],[]
17,/home/pi/sambashare/BacArbeit/randomized_iamges/17.jpg,8.420934894005768,[],[],[],[]
18,/home/pi/sambashare/BacArbeit/randomized_iamges/18.jpg,8.422367783990921,[],[],[],[]
19,/home/pi/sambashare/BacArbeit/randomized_iamges/19.jpg,8.416405727999518,[],[],[],[]
20,/home/pi/sambashare/BacArbeit/randomized_iamges/20.jpg,8.416626912003267,[],[],[],[]
21,/home/pi/sambashare/BacArbeit/randomized_iamges/21.jpg,8.41880359100469,[],[],[],[]
22,/home/pi/sambashare/BacArbeit/randomized_iamges/22.jpg,8.415205408993643,[],[],[],[]
23,/home/pi/sambashare/BacArbeit/randomized_iamges/23.jpg,8.422844504995737,[],[],[],[]
24,/home/pi/sambashare/BacArbeit/randomized_iamges/24.jpg,8.466883849992882,[],[],[],[]
25,/home/pi/sambashare/BacArbeit/randomized_iamges/25.jpg,8.416398815999855,[],[],[],[]
26,/home/pi/sambashare/BacArbeit/randomized_iamges/26.jpg,8.41180409801018,[],[],[],[]
27,/home/pi/sambashare/BacArbeit/randomized_iamges/27.jpg,8.406394441000884,[],[],[],[]
28,/home/pi/sambashare/BacArbeit/randomized_iamges/28.jpg,8.411951795002096,[],[],[],[]
29,/home/pi/sambashare/BacArbeit/randomized_iamges/29.jpg,8.420444711999153,[],[],[],[]
30,/home/pi/sambashare/BacArbeit/randomized_iamges/30.jpg,8.417672805997427,[],[],[],[]
31,/home/pi/sambashare/BacArbeit/randomized_iamges/31.jpg,8.423857069006772,[],[],[],[]
32,/home/pi/sambashare/BacArbeit/randomized_iamges/32.jpg,8.448906242003432,[],[],[],[]
33,/home/pi/sambashare/BacArbeit/randomized_iamges/33.jpg,8.420863013991038,[],[],[],[]
34,/home/pi/sambashare/BacArbeit/randomized_iamges/34.jpg,8.417139450990362,[],[],[],[]
35,/home/pi/sambashare/BacArbeit/randomized_iamges/35.jpg,8.416040370997507,[],[],[],[]
36,/home/pi/sambashare/BacArbeit/randomized_iamges/36.jpg,8.410453998003504,[],[],[],[]
37,/home/pi/sambashare/BacArbeit/randomized_iamges/37.jpg,8.415322087996174,[],[],[],[]
38,/home/pi/sambashare/BacArbeit/randomized_iamges/38.jpg,8.424515479011461,[],[],[],[]
39,/home/pi/sambashare/BacArbeit/randomized_iamges/39.jpg,8.425331010002992,[],[],[],[]
40,/home/pi/sambashare/BacArbeit/randomized_iamges/40.jpg,8.461840325995581,[],[],[],[]
41,/home/pi/sambashare/BacArbeit/randomized_iamges/41.jpg,8.423094212004798,[],[],[],[]
42,/home/pi/sambashare/BacArbeit/randomized_iamges/42.jpg,8.432232960010879,[],[],[],[]
43,/home/pi/sambashare/BacArbeit/randomized_iamges/43.jpg,8.41701214799832,[],[],[],[]
44,/home/pi/sambashare/BacArbeit/randomized_iamges/44.jpg,8.421566561009968,[],[],[],[]
45,/home/pi/sambashare/BacArbeit/randomized_iamges/45.jpg,8.42822622800304,[],[],[],[]
46,/home/pi/sambashare/BacArbeit/randomized_iamges/46.jpg,8.429742590989918,[],[],[],[]
47,/home/pi/sambashare/BacArbeit/randomized_iamges/47.jpg,8.42533027198806,[],[],[],[]
48,/home/pi/sambashare/BacArbeit/randomized_iamges/48.jpg,8.449367837994942,[],[],[],[]
49,/home/pi/sambashare/BacArbeit/randomized_iamges/49.jpg,8.428178685993771,[],[],[],[]
50,/home/pi/sambashare/BacArbeit/randomized_iamges/50.jpg,8.423110660995007,[],[],[],[]
51,/home/pi/sambashare/BacArbeit/randomized_iamges/51.jpg,8.424966624006629,[],[],[],[]
52,/home/pi/sambashare/BacArbeit/randomized_iamges/52.jpg,8.43320181001036,[],[],[],[]
53,/home/pi/sambashare/BacArbeit/randomized_iamges/53.jpg,8.428899670005194,[],[],[],[]
54,/home/pi/sambashare/BacArbeit/randomized_iamges/54.jpg,8.415814894993673,[],[],[],[]
55,/home/pi/sambashare/BacArbeit/randomized_iamges/55.jpg,8.41543109700433,[],[],[],[]
56,/home/pi/sambashare/BacArbeit/randomized_iamges/56.jpg,8.445281366002746,[],[],[],[]
57,/home/pi/sambashare/BacArbeit/randomized_iamges/57.jpg,8.41943313300726,[],[],[],[]
58,/home/pi/sambashare/BacArbeit/randomized_iamges/58.jpg,8.41567999900144,[],[],[],[]
59,/home/pi/sambashare/BacArbeit/randomized_iamges/59.jpg,8.412871649008594,[],[],[],[]
60,/home/pi/sambashare/BacArbeit/randomized_iamges/60.jpg,8.415505905999453,[],[],[],[]
61,/home/pi/sambashare/BacArbeit/randomized_iamges/61.jpg,8.416536182994605,[],[],[],[]
62,/home/pi/sambashare/BacArbeit/randomized_iamges/62.jpg,8.422937761992216,[],[],[],[]
63,/home/pi/sambashare/BacArbeit/randomized_iamges/63.jpg,8.428130158994463,[],[],[],[]
64,/home/pi/sambashare/BacArbeit/randomized_iamges/64.jpg,8.456087700993521,[],[],[],[]
65,/home/pi/sambashare/BacArbeit/randomized_iamges/65.jpg,8.427052647006349,[],[],[],[]
66,/home/pi/sambashare/BacArbeit/randomized_iamges/66.jpg,8.425262274991837,[],[],[],[]
67,/home/pi/sambashare/BacArbeit/randomized_iamges/67.jpg,8.429785084008472,[],[],[],[]
68,/home/pi/sambashare/BacArbeit/randomized_iamges/68.jpg,8.425045184005285,[],[],[],[]
69,/home/pi/sambashare/BacArbeit/randomized_iamges/69.jpg,8.4246853460063,[],[],[],[]
70,/home/pi/sambashare/BacArbeit/randomized_iamges/70.jpg,8.433170832999167,[],[],[],[]
71,/home/pi/sambashare/BacArbeit/randomized_iamges/71.jpg,8.420202883993625,[],[],[],[]
72,/home/pi/sambashare/BacArbeit/randomized_iamges/72.jpg,8.464022192987613,[],[],[],[]
73,/home/pi/sambashare/BacArbeit/randomized_iamges/73.jpg,8.422823648012127,[],[],[],[]
74,/home/pi/sambashare/BacArbeit/randomized_iamges/74.jpg,8.426427151993266,[],[],[],[]
75,/home/pi/sambashare/BacArbeit/randomized_iamges/75.jpg,8.424021248996723,[],[],[],[]
76,/home/pi/sambashare/BacArbeit/randomized_iamges/76.jpg,8.42297804300324,[],[],[],[]
77,/home/pi/sambashare/BacArbeit/randomized_iamges/77.jpg,8.434079990998725,[],[],[],[]
78,/home/pi/sambashare/BacArbeit/randomized_iamges/78.jpg,8.419668742004433,[],[],[],[]
79,/home/pi/sambashare/BacArbeit/randomized_iamges/79.jpg,8.42614949599374,[],[],[],[]
80,/home/pi/sambashare/BacArbeit/randomized_iamges/80.jpg,8.45770482700027,[],[],[],[]
81,/home/pi/sambashare/BacArbeit/randomized_iamges/81.jpg,8.42206787300529,[],[],[],[]
82,/home/pi/sambashare/BacArbeit/randomized_iamges/82.jpg,8.422450390993617,[],[],[],[]
83,/home/pi/sambashare/BacArbeit/randomized_iamges/83.jpg,8.417123740000534,[],[],[],[]
84,/home/pi/sambashare/BacArbeit/randomized_iamges/84.jpg,8.42696485700435,[],[],[],[]
85,/home/pi/sambashare/BacArbeit/randomized_iamges/85.jpg,8.42136617199867,[],[],[],[]
86,/home/pi/sambashare/BacArbeit/randomized_iamges/86.jpg,8.421273579995614,[],[],[],[]
87,/home/pi/sambashare/BacArbeit/randomized_iamges/87.jpg,8.421026598996832,[],[],[],[]
88,/home/pi/sambashare/BacArbeit/randomized_iamges/88.jpg,8.450255536008626,[],[],[],[]
89,/home/pi/sambashare/BacArbeit/randomized_iamges/89.jpg,8.424972205000813,[],[],[],[]
90,/home/pi/sambashare/BacArbeit/randomized_iamges/90.jpg,8.424764858995331,[],[],[],[]
91,/home/pi/sambashare/BacArbeit/randomized_iamges/91.jpg,8.428351883005234,[],[],[],[]
92,/home/pi/sambashare/BacArbeit/randomized_iamges/92.jpg,8.426082310994389,[],[],[],[]
93,/home/pi/sambashare/BacArbeit/randomized_iamges/93.jpg,8.423700512008509,[],[],[],[]
94,/home/pi/sambashare/BacArbeit/randomized_iamges/94.jpg,8.42378863999329,[],[],[],[]
95,/home/pi/sambashare/BacArbeit/randomized_iamges/95.jpg,8.439188689997536,[],[],[],[]
96,/home/pi/sambashare/BacArbeit/randomized_iamges/96.jpg,8.45700548599416,[],[],[],[]
97,/home/pi/sambashare/BacArbeit/randomized_iamges/97.jpg,8.42125965100422,[],[],[],[]
98,/home/pi/sambashare/BacArbeit/randomized_iamges/98.jpg,8.426667453997652,[],[],[],[]
99,/home/pi/sambashare/BacArbeit/randomized_iamges/99.jpg,8.431656821005163,[],[],[],[]
100,/home/pi/sambashare/BacArbeit/randomized_iamges/100.jpg,8.430719272000715,[],[],[],[]
101,/home/pi/sambashare/BacArbeit/randomized_iamges/101.jpg,8.436317855012021,[],[],[],[]
102,/home/pi/sambashare/BacArbeit/randomized_iamges/102.jpg,8.421719503996428,[],[],[],[]
103,/home/pi/sambashare/BacArbeit/randomized_iamges/103.jpg,8.42279005999444,[],[],[],[]
104,/home/pi/sambashare/BacArbeit/randomized_iamges/104.jpg,8.45290428599401,[],[],[],[]
105,/home/pi/sambashare/BacArbeit/randomized_iamges/105.jpg,8.416129190998618,[],[],[],[]
106,/home/pi/sambashare/BacArbeit/randomized_iamges/106.jpg,8.43577050800377,[],[],[],[]
107,/home/pi/sambashare/BacArbeit/randomized_iamges/107.jpg,8.426012033000006,[],[],[],[]
108,/home/pi/sambashare/BacArbeit/randomized_iamges/108.jpg,8.42748541898618,[],[],[],[]
109,/home/pi/sambashare/BacArbeit/randomized_iamges/109.jpg,8.428119071992114,[],[],[],[]
110,/home/pi/sambashare/BacArbeit/randomized_iamges/110.jpg,8.427580889998353,[],[],[],[]
111,/home/pi/sambashare/BacArbeit/randomized_iamges/111.jpg,8.422740932001034,[],[],[],[]
112,/home/pi/sambashare/BacArbeit/randomized_iamges/112.jpg,8.459536009002477,[],[],[],[]
113,/home/pi/sambashare/BacArbeit/randomized_iamges/113.jpg,8.427782181999646,[],[],[],[]
114,/home/pi/sambashare/BacArbeit/randomized_iamges/114.jpg,8.42060085000412,[],[],[],[]
115,/home/pi/sambashare/BacArbeit/randomized_iamges/115.jpg,8.42502226898796,[],[],[],[]
116,/home/pi/sambashare/BacArbeit/randomized_iamges/116.jpg,8.42262357501022,[],[],[],[]
117,/home/pi/sambashare/BacArbeit/randomized_iamges/117.jpg,8.4215598449955,[],[],[],[]
