         83478 function calls (80252 primitive calls) in 1.078 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.078    1.078 classification.py:513(pytorch)
    216/4    0.003    0.000    0.509    0.127 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1188(_call_impl)
        1    0.000    0.000    0.455    0.455 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/mobilenetv2.py:173(forward)
        1    0.000    0.000    0.455    0.455 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/mobilenetv2.py:163(_forward_impl)
     54/2    0.005    0.000    0.440    0.220 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:202(forward)
        1    0.000    0.000    0.373    0.373 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:462(load)
        1    0.000    0.000    0.372    0.372 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:546(_load_local)
        1    0.000    0.000    0.371    0.371 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/_utils.py:130(wrapper)
        1    0.000    0.000    0.371    0.371 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/_utils.py:171(inner_wrapper)
        1    0.002    0.002    0.370    0.370 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/mobilenetv2.py:222(mobilenet_v2)
       17    0.002    0.000    0.358    0.021 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/mobilenetv2.py:60(forward)
       52    0.001    0.000    0.334    0.006 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:462(forward)
       52    0.001    0.000    0.333    0.006 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:454(_conv_forward)
       52    0.333    0.006    0.333    0.006 {built-in method torch.conv2d}
        1    0.002    0.002    0.257    0.257 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/mobilenetv2.py:68(__init__)
       53    0.112    0.002    0.112    0.002 {method 'normal_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.104    0.104 /home/pi/.local/lib/python3.8/site-packages/torchvision/transforms/transforms.py:93(__call__)
       17    0.001    0.000    0.096    0.006 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/mobilenetv2.py:20(__init__)
        7    0.001    0.000    0.089    0.013 {built-in method builtins.print}
        1    0.000    0.000    0.088    0.088 /home/pi/.local/lib/python3.8/site-packages/torch/_tensor.py:421(__repr__)
        1    0.000    0.000    0.088    0.088 /home/pi/.local/lib/python3.8/site-packages/torch/_tensor_str.py:634(_str)
        1    0.000    0.000    0.088    0.088 /home/pi/.local/lib/python3.8/site-packages/torch/_tensor_str.py:367(_str_intern)
        1    0.000    0.000    0.087    0.087 /home/pi/.local/lib/python3.8/site-packages/torch/_tensor_str.py:288(_tensor_str)
        1    0.012    0.012    0.079    0.079 /home/pi/.local/lib/python3.8/site-packages/torch/_tensor_str.py:100(__init__)
       52    0.001    0.000    0.074    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/init.py:415(kaiming_normal_)
       35    0.000    0.000    0.070    0.002 /home/pi/.local/lib/python3.8/site-packages/torchvision/ops/misc.py:144(__init__)
       35    0.001    0.000    0.069    0.002 /home/pi/.local/lib/python3.8/site-packages/torchvision/ops/misc.py:69(__init__)
       53    0.001    0.000    0.068    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/init.py:366(kaiming_uniform_)
        1    0.000    0.000    0.067    0.067 /home/pi/.local/lib/python3.8/site-packages/torchvision/models/_api.py:65(get_state_dict)
        1    0.000    0.000    0.067    0.067 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:667(load_state_dict_from_url)
        1    0.000    0.000    0.066    0.066 /home/pi/.local/lib/python3.8/site-packages/torch/serialization.py:653(load)
       52    0.001    0.000    0.065    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:431(__init__)
        1    0.002    0.002    0.065    0.065 /home/pi/.local/lib/python3.8/site-packages/torch/serialization.py:815(_legacy_load)
       54    0.064    0.001    0.064    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
       52    0.002    0.000    0.062    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:71(__init__)
       52    0.002    0.000    0.054    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:137(forward)
       52    0.001    0.000    0.051    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/functional.py:2419(batch_norm)
       52    0.050    0.001    0.050    0.001 {built-in method torch.batch_norm}
        1    0.000    0.000    0.050    0.050 /home/pi/.local/lib/python3.8/site-packages/torchvision/transforms/transforms.py:127(__call__)
        1    0.000    0.000    0.050    0.050 /home/pi/.local/lib/python3.8/site-packages/torchvision/transforms/functional.py:122(to_tensor)
        1    0.000    0.000    0.046    0.046 /home/pi/.local/lib/python3.8/site-packages/torchvision/transforms/transforms.py:262(forward)
        1    0.000    0.000    0.046    0.046 /home/pi/.local/lib/python3.8/site-packages/torchvision/transforms/functional.py:337(normalize)
        1    0.004    0.004    0.046    0.046 /home/pi/.local/lib/python3.8/site-packages/torchvision/transforms/functional_tensor.py:917(normalize)
       52    0.001    0.000    0.046    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:146(reset_parameters)
        1    0.000    0.000    0.044    0.044 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1599(load_state_dict)
    213/1    0.003    0.000    0.044    0.044 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1637(load)
        1    0.000    0.000    0.041    0.041 /home/pi/.local/lib/python3.8/site-packages/torch/nn/init.py:140(normal_)
        1    0.000    0.000    0.041    0.041 /home/pi/.local/lib/python3.8/site-packages/torch/nn/init.py:17(_no_grad_normal_)
      213    0.011    0.000    0.033    0.000 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1505(_load_from_state_dict)
      314    0.031    0.000    0.031    0.000 {method '_set_from_file' of 'torch._C.StorageBase' objects}
       52    0.000    0.000    0.031    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:122(__init__)
       52    0.003    0.000    0.031    0.001 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:30(__init__)
        1    0.000    0.000    0.030    0.030 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:3174(open)
