         3472141 function calls (3350888 primitive calls) in 10.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   10.202   10.202 detection.py:683(pytorch)
        1    0.000    0.000    7.555    7.555 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:462(load)
        1    0.000    0.000    7.091    7.091 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:546(_load_local)
        1    0.000    0.000    7.089    7.089 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/hubconf.py:91(yolov5s)
        1    0.000    0.000    7.089    7.089 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/hubconf.py:16(_create)
   1071/8    0.017    0.000    5.242    0.655 <frozen importlib._bootstrap>:986(_find_and_load)
   1053/8    0.012    0.000    5.240    0.655 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  1445/10    0.002    0.000    5.235    0.524 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   1019/9    0.013    0.000    5.234    0.582 <frozen importlib._bootstrap>:650(_load_unlocked)
   870/10    0.007    0.000    5.233    0.523 <frozen importlib._bootstrap_external>:842(exec_module)
  1294/10    0.239    0.000    5.199    0.520 {built-in method builtins.exec}
        1    0.000    0.000    5.178    5.178 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/common.py:2(<module>)
        1    0.000    0.000    3.318    3.318 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/utils/dataloaders.py:2(<module>)
        1    0.000    0.000    3.113    3.113 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/utils/augmentations.py:2(<module>)
        1    0.001    0.001    3.111    3.111 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/utils/general.py:2(<module>)
  311/107    0.003    0.000    2.715    0.025 {built-in method builtins.__import__}
 1291/597    0.006    0.000    2.210    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    215/1    0.006    0.000    1.747    1.747 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1188(_call_impl)
        1    0.000    0.000    1.747    1.747 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:24(decorate_context)
        1    0.005    0.005    1.747    1.747 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/common.py:656(forward)
        1    0.000    0.000    1.656    1.656 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/common.py:505(forward)
        1    0.000    0.000    1.656    1.656 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/yolo.py:206(forward)
        1    0.004    0.004    1.656    1.656 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/yolo.py:114(_forward_once)
        2    0.000    0.000    1.490    0.745 /usr/lib/python3.8/inspect.py:1524(stack)
        2    0.001    0.000    1.490    0.745 /usr/lib/python3.8/inspect.py:1496(getouterframes)
       62    0.002    0.000    1.489    0.024 /usr/lib/python3.8/inspect.py:1457(getframeinfo)
       57    0.003    0.000    1.469    0.026 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/common.py:58(forward_fuse)
