                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0322,                 3.1166,                 1.3404,                0.80395,                0.84591,                0.90706,                0.68428,                 1.3156,                 1.0389,                 1.2291,                      0,                      0,                      0
                      2,                 1.2533,                 2.3952,                 1.6515,                0.80024,                0.84042,                0.90985,                0.69218,                 1.3001,                 1.0226,                 1.2262,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.0214,                 2.2199,                 1.5396,                0.79482,                0.83333,                0.90686,                0.69031,                 1.2932,                 1.0138,                 1.2224,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2243,                 2.7787,                 1.5712,                0.79511,                0.83333,                0.91017,                0.69155,                 1.2787,                 1.0069,                 1.2178,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0676,                 1.7062,                  1.333,                0.79146,                0.83333,                0.89829,                0.69039,                 1.2863,                 1.0084,                 1.2224,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                  1.092,                 2.5004,                 1.4002,                0.82482,                   0.85,                0.90916,                0.69176,                 1.2844,                 1.0144,                 1.2239,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.0069,                 1.9441,                 1.3146,                0.82559,                   0.85,                0.90948,                0.69462,                 1.2882,                 1.0214,                 1.2248,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.2479,                 2.5187,                  1.607,                0.82174,                   0.85,                0.90809,                0.69671,                 1.2895,                 1.0377,                 1.2252,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0196,                 1.5826,                 1.5329,                0.80031,                   0.85,                0.90888,                0.69446,                 1.2958,                  1.051,                 1.2282,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                  1.052,                 1.8074,                  1.555,                0.76374,                   0.85,                0.91014,                0.70744,                 1.3014,                 1.0661,                 1.2319,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.81685,                 1.6686,                 1.1445,                0.73658,                   0.85,                0.91026,                0.71559,                 1.3053,                 1.0786,                 1.2356,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.84043,                 1.9106,                 1.2424,                0.67868,                   0.85,                0.91128,                0.70742,                 1.3083,                 1.0834,                 1.2352,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.93528,                 1.3333,                 1.2939,                0.65835,                   0.85,                0.91201,                0.69886,                 1.3206,                 1.1087,                  1.243,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2209,                 2.4384,                 1.5802,                0.63797,                   0.85,                0.90856,                0.70148,                 1.3159,                 1.1328,                 1.2434,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.63762,                 1.2877,                 1.0728,                0.62792,                   0.85,                0.90825,                0.70113,                 1.3051,                 1.1518,                 1.2367,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.80579,                  1.743,                  1.232,                0.64139,                   0.85,                0.89973,                0.68998,                 1.2976,                 1.1562,                 1.2332,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.95612,                 1.0251,                 1.3504,                0.66346,                   0.85,                0.88342,                0.67259,                 1.3061,                 1.1574,                 1.2347,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.73645,                 1.1517,                 1.2772,                0.66346,                   0.85,                0.88342,                0.67259,                 1.3061,                 1.1574,                 1.2347,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.98552,                 2.1757,                 1.3674,                0.67414,                0.76667,                0.86839,                0.66573,                 1.2951,                 1.1904,                 1.2308,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.76755,                 1.1853,                 1.2479,                0.67414,                0.76667,                0.86839,                0.66573,                 1.2951,                 1.1904,                 1.2308,             1.8357e-05,             1.8357e-05,             1.8357e-05
